N	3gram	Tiupa_Narr_2	Hudozhes
1	о том что	4	9
2	то же время	3	8
3	в то же	3	8
4	по отношению к	5	8
5	и т п	2	8
6	в том что	8	6
7	дамы с собачкой	7	4
8	к тому что	3	4
9	тем не менее	4	3
10	в этом отношении	3	3
11	с точки зрения	2	3
12	в глазах автора	2	3
13	не случайно в	2	2
14	тому что он	2	2
15	к себе самому	3	2
16	на стороне лиды	2	2
17	при встрече с	3	2
18	в конечном счете	3	2
19	по своей природе	2	2
20	не может быть	2	2
21	на то чтобы	2	2
22	не только в	6	2
23	характеры действующих лиц	2	2
24	характер и личность	2	2
25	того или иного	3	2
