N	2gram	Potebnia_M_2	Vladivir
1	и в	24	30
2	то что	20	20
3	в этом	8	20
4	у него	2	19
5	в том	18	18
6	и не	19	18
7	что он	4	13
8	том что	8	12
9	что в	16	12
10	не только	15	12
11	в его	2	11
12	а в	8	11
13	сказать что	2	11
14	и вообще	3	10
15	не было	6	10
16	не в	13	9
17	для него	10	9
18	было бы	13	9
19	все же	5	9
20	потому что	49	9
21	не может	12	9
22	в то	6	9
23	связи с	6	8
24	вместе с	11	8
25	но и	9	8
26	в связи	2	8
27	но в	4	8
28	не менее	5	7
29	никогда не	4	7
30	и все	3	7
31	может быть	23	7
32	между прочим	4	7
33	для нас	31	7
34	а не	18	7
35	как это	2	7
36	то есть	30	7
37	хотя и	3	6
38	к этому	2	6
39	прежде всего	7	6
40	тем не	6	6
41	у нас	2	6
42	то время	4	6
43	только в	11	6
44	всяком случае	7	6
45	во всяком	7	6
46	в себе	10	6
47	и его	2	6
48	и то	3	5
49	по себе	15	5
50	как и	7	5
51	так что	10	5
52	при этом	13	5
53	того же	14	5
54	но что	2	5
55	тот же	5	5
56	как бы	9	5
57	в котором	4	5
58	так и	5	5
59	все это	2	5
60	с этим	7	5
61	и что	4	5
62	того что	7	5
63	все эти	2	5
64	так как	10	5
65	с ним	5	5
66	совсем не	2	4
67	с его	2	4
68	эти последние	2	4
69	вовсе не	9	4
70	его в	3	4
71	мы знаем	2	4
72	что его	3	4
73	в целом	3	4
74	и если	4	4
75	что это	3	4
76	в ней	3	4
77	в нем	9	4
78	то это	3	4
79	не есть	6	4
80	крайней мере	5	4
81	с а	4	4
82	в этих	3	4
83	со стороны	3	4
84	то же	12	4
85	так же	2	4
86	той же	3	4
87	по поводу	6	4
88	и на	8	4
89	но это	3	4
90	с в	2	4
91	мы должны	2	4
92	о том	5	4
93	с которыми	2	4
94	в которой	5	4
95	по крайней	5	4
96	это было	2	4
97	для меня	4	4
98	под влиянием	8	3
99	уже в	5	3
100	всех этих	2	3
101	в них	5	3
102	хотя бы	2	3
103	из этих	4	3
104	точно так	9	3
105	же время	2	3
106	в свою	6	3
107	что и	11	3
108	и как	6	3
109	сравнительно с	4	3
110	более или	8	3
111	но не	12	3
112	и для	3	3
113	во всех	7	3
114	нам кажется	4	3
115	или менее	8	3
116	как в	10	3
117	а а	2	3
118	отношения к	2	3
119	таким образом	11	3
120	те же	3	3
121	а это	2	3
122	уже не	4	3
123	должно быть	2	3
124	в таком	4	3
125	не столько	2	3
126	даже и	2	3
127	к ней	2	3
128	но он	2	3
129	говоря о	3	3
130	его на	2	3
131	и это	2	3
132	когда мы	2	3
133	не то	2	3
134	этого не	2	2
135	с тем	4	2
136	и есть	2	2
137	себе представить	2	2
138	это не	3	2
139	и от	3	2
140	себе в	3	2
141	если не	4	2
142	тогда когда	10	2
143	только после	2	2
144	на все	3	2
145	этого последнего	3	2
146	в общем	2	2
147	же в	5	2
148	друг друга	2	2
149	только тогда	3	2
150	которой мы	2	2
151	а к	2	2
152	невозможно но	2	2
153	свою очередь	6	2
154	на этом	2	2
155	а то	2	2
156	но тем	3	2
157	и может	3	2
158	само по	2	2
159	после того	2	2
160	кажется что	3	2
161	в самом	4	2
162	ни с	2	2
163	на то	5	2
164	и потому	2	2
165	для того	5	2
166	время как	4	2
167	не имеет	6	2
168	с нами	2	2
169	можно назвать	2	2
170	есть нечто	3	2
171	не на	2	2
172	того как	7	2
173	видно из	2	2
174	и притом	3	2
175	на другие	6	2
176	но все	2	2
177	мы находим	2	2
178	того чтобы	2	2
179	что не	5	2
180	в чем	7	2
181	и по	2	2
182	в сравнении	2	2
183	разницы между	2	2
184	его не	3	2
185	также что	2	2
186	что для	3	2
187	во многих	3	2
188	нас в	2	2
189	их в	2	2
190	и при	3	2
191	сам по	4	2
192	и во	3	2
193	было для	2	2
194	или по	2	2
195	что если	6	2
196	как он	4	2
197	мы не	11	2
