N	2gram	Tiupa_Narr_2	Sotsiolo
1	в том	14	5
2	в этом	13	5
3	не в	8	3
4	для нас	2	3
5	в его	6	3
6	более чем	2	3
7	и в	13	3
8	не только	26	3
9	или даже	3	2
10	по отношению	5	2
11	еще не	2	2
12	было бы	2	2
13	только в	11	2
14	в конце	4	2
15	таким образом	5	2
16	том что	13	2
17	далеко не	5	2
18	то же	4	2
19	отношению к	5	2
20	то что	8	2
21	тем более	2	2
22	может быть	10	2
23	в результате	2	2
24	в частности	11	2
25	и что	2	2
26	но и	15	2
27	к которому	2	2
28	как бы	6	2
29	должна быть	2	2
30	что в	4	2
