N	2gram	Propp_Isto_4	KFilosof
1	может быть	14	43
2	в его	5	39
3	в нем	2	31
4	не может	6	27
5	и не	9	26
6	и в	26	22
7	в себе	2	21
8	не есть	2	19
9	а не	6	17
10	и его	10	17
11	только в	3	16
12	в этом	7	13
13	ни в	2	12
14	но не	5	12
15	все эти	3	11
16	в своей	4	11
17	не в	5	11
18	к нему	6	11
19	в своем	2	10
20	это не	5	10
21	все это	2	10
22	и есть	2	9
23	в целом	2	9
24	но и	12	9
25	как бы	3	9
26	и все	2	9
27	лишь в	2	8
28	если бы	2	8
29	было бы	2	8
30	и здесь	5	7
31	во всем	3	7
32	вовсе не	4	7
33	конечно не	2	7
34	что и	9	7
35	то что	16	7
36	себя в	2	7
37	в том	3	6
38	но это	3	6
39	отношение к	2	6
40	и только	5	6
41	и действительно	3	6
42	этот момент	2	6
43	и их	2	6
44	он не	7	6
45	уже не	5	6
46	никогда не	2	5
47	хотя бы	2	5
48	но эта	4	5
49	то же	8	5
50	его как	2	5
51	но все	5	5
52	не имеет	3	5
53	его в	9	5
54	но в	5	5
55	как и	7	5
56	что я	2	5
57	не только	15	5
58	все же	9	5
59	мы имеем	7	5
60	там где	3	5
61	что в	14	4
62	для нас	3	4
63	здесь мы	2	4
64	при этом	3	4
65	к ним	2	4
66	не по	2	4
67	с ними	5	4
68	могло бы	2	4
69	в одном	5	4
70	со мной	2	4
71	том что	3	4
72	а в	8	4
73	должна быть	2	3
74	что это	2	3
75	не менее	2	3
76	не дает	2	3
77	и пр	11	3
78	и тем	2	3
79	от того	2	3
80	меня и	2	3
81	того что	2	3
82	и на	2	3
83	о том	4	3
84	в некотором	2	3
85	меня не	3	3
86	от него	2	3
87	еще не	6	3
88	в современной	2	3
89	только с	2	3
90	что этот	4	3
91	тем что	5	3
92	могут быть	6	3
93	в другом	5	3
94	здесь не	4	3
95	и этим	2	3
96	ничего не	5	3
97	это уже	2	2
98	его и	2	2
99	вопрос о	4	2
100	его к	3	2
101	ему в	2	2
102	тем не	2	2
103	и как	5	2
104	на нем	5	2
105	он может	2	2
106	но для	2	2
107	его с	2	2
108	знает и	2	2
109	по себе	2	2
110	что есть	2	2
111	этих предметов	2	2
112	и других	3	2
113	а по	4	2
114	потому что	6	2
115	на волю	3	2
116	имеем в	2	2
117	к себе	3	2
118	а как	2	2
119	и то	6	2
120	с тем	2	2
121	что эта	3	2
122	к этому	5	2
123	что он	10	2
124	только это	2	2
125	герой и	2	2
126	в качестве	7	2
127	и тот	2	2
128	но есть	2	2
129	этот факт	2	2
130	но этот	2	2
131	этого слова	2	2
132	дело не	2	2
133	так и	10	2
134	как в	7	2
135	в виде	2	2
136	это и	5	2
137	мы здесь	2	2
138	случае мы	2	2
139	в данном	3	2
140	в этой	2	2
141	которой он	2	2
142	его на	4	2
143	в области	2	2
