N	3gram	Trubetskoy_1	Vvedenie
1	для того чтобы	7	20
2	о том что	4	12
3	в том что	15	12
4	тем не менее	4	8
5	не может быть	3	8
6	то же время	2	6
7	в самом деле	5	6
8	в то же	2	6
9	до сих пор	8	6
10	с другой стороны	4	5
11	с течением времени	4	5
12	в данном случае	3	4
13	с одной стороны	2	4
14	по сравнению с	5	4
15	в этом случае	4	4
16	во всяком случае	2	4
17	по отношению к	9	4
18	так или иначе	5	4
19	в том виде	2	3
20	и в том	2	3
21	вместе с тем	2	3
22	заключается в том	2	3
23	но все же	2	3
24	в конце концов	4	2
25	что же касается	2	2
26	с точки зрения	8	2
27	не может служить	2	2
28	что несмотря на	2	2
29	в целом ряде	3	2
30	в связи с	3	2
31	может быть и	4	2
32	принять во внимание	2	2
