N	2gram	Ircho_Kome_2	Vladivir
1	и в	26	30
2	то что	6	20
3	в этом	10	20
4	у него	4	19
5	в том	11	18
6	и не	14	18
7	и с	5	14
8	что он	5	13
9	в конце	2	13
10	том что	9	12
11	что в	9	12
12	не только	7	12
13	в его	4	11
14	а в	3	11
15	как мы	4	11
16	не было	3	10
17	не в	2	9
18	было бы	8	9
19	все же	4	9
20	потому что	6	9
21	не может	3	9
22	в то	6	9
23	связи с	3	8
24	в своем	6	8
25	вместе с	9	8
26	но и	10	8
27	в связи	3	8
28	но в	3	8
29	не менее	4	7
30	точки зрения	4	7
31	и все	2	7
32	ни в	5	7
33	может быть	11	7
34	для нас	3	7
35	как это	4	7
36	хотя и	4	6
37	к этому	5	6
38	прежде всего	4	6
39	и к	2	6
40	об этом	2	6
41	он был	2	6
42	то время	3	6
43	только в	4	6
44	всяком случае	2	6
45	во всяком	2	6
46	жизни и	3	6
47	и его	12	6
48	о чем	3	6
49	и я	2	5
50	к концу	3	5
51	о его	4	5
52	как и	4	5
53	так что	5	5
54	того же	3	5
55	тот же	2	5
56	в своей	3	5
57	как бы	2	5
58	в котором	3	5
59	так и	12	5
60	все это	3	5
61	с этим	5	5
62	в течение	2	5
63	и что	2	5
64	так как	4	5
65	из этого	2	5
66	с его	5	4
67	с этой	3	4
68	в это	2	4
69	после смерти	3	4
70	вовсе не	2	4
71	его в	4	4
72	мы знаем	3	4
73	что его	3	4
74	в этой	3	4
75	в целом	4	4
76	и если	2	4
77	что это	4	4
78	в ней	3	4
79	он не	2	4
80	это время	3	4
81	в нем	6	4
82	то это	2	4
83	в этих	4	4
84	со стороны	2	4
85	то же	3	4
86	на этот	4	4
87	той же	3	4
88	по поводу	3	4
89	и на	7	4
90	в начале	4	4
91	о том	6	4
92	с которыми	2	4
93	в которой	5	4
94	отношение к	2	4
95	это было	4	4
96	уже в	4	3
97	в них	4	3
98	хотя бы	2	3
99	едва ли	14	3
100	из этих	4	3
101	что касается	3	3
102	же время	3	3
103	в следующем	2	3
104	что и	7	3
105	да и	3	3
106	философии и	2	3
107	но не	3	3
108	и для	4	3
109	этого времени	2	3
110	так или	3	3
111	и особенно	3	3
112	еще более	2	3
113	сказать о	2	3
114	во всех	3	3
115	как в	3	3
116	в отличие	2	3
117	таким образом	6	3
118	наконец в	2	3
119	отличие от	2	3
120	или иначе	3	3
121	под названием	2	3
122	не говоря	2	3
123	и это	2	3
124	этот раз	4	3
125	к нему	3	2
126	еще в	4	2
127	с тем	5	2
128	и есть	2	2
129	больше того	4	2
130	однако в	2	2
131	со своей	3	2
132	это не	2	2
133	и от	4	2
134	если не	2	2
135	и хотя	2	2
136	здесь в	3	2
137	к тому	12	2
138	же в	4	2
139	есть для	2	2
140	друг друга	3	2
141	на всякого	2	2
142	из его	2	2
143	на этом	2	2
144	по своему	2	2
145	возможно что	3	2
146	после того	2	2
147	и сам	3	2
148	в самом	4	2
149	в частности	4	2
150	отношениях с	3	2
151	не вполне	2	2
152	для того	5	2
153	в виду	2	2
154	время как	2	2
155	даже в	2	2
156	говоря уже	2	2
157	не имеет	3	2
158	себя в	3	2
159	наряду с	6	2
160	в последние	4	2
161	в их	3	2
162	с которым	2	2
163	того как	3	2
164	видно из	2	2
165	три года	2	2
166	бог и	2	2
167	но все	3	2
168	в двух	6	2
169	мы находим	2	2
170	в той	2	2
171	того чтобы	6	2
172	также что	2	2
173	что для	4	2
174	можно было	4	2
175	и во	2	2
176	тут же	2	2
177	с и	4	2
178	к его	2	2
179	этому времени	2	2
180	как будто	4	2
181	как он	3	2
182	к середине	2	2
183	уже о	2	2
184	мы не	2	2
185	вообще говоря	2	2
