N	2gram	Bakhtin_fo_1	Stilisti
1	и в	50	42
2	как бы	2	27
3	не только	9	27
4	и т.п	4	24
5	прежде всего	15	22
6	хотя бы	2	17
7	но и	8	15
8	то же	11	15
9	и не	14	14
10	может быть	11	12
11	не может	6	12
12	точки зрения	5	11
13	как и	8	11
14	мы уже	11	11
15	и как	10	10
16	что мы	2	10
17	мы должны	2	10
18	отнюдь не	5	10
19	как мы	14	10
20	в этом	25	10
21	при этом	3	9
22	в то	9	9
23	то что	6	9
24	для того	5	9
25	мы не	3	9
26	все же	6	8
27	в ней	4	8
28	таким образом	11	8
29	с тем	3	8
30	в себе	3	8
31	и это	4	8
32	никогда не	2	7
33	же время	9	7
34	и на	8	7
35	потому что	4	7
36	так как	6	7
37	с его	9	7
38	было бы	2	7
39	а не	3	7
40	того чтобы	5	7
41	и его	16	7
42	только в	4	7
43	в которой	2	7
44	ничего не	9	7
45	точку зрения	2	6
46	или иной	2	6
47	мы будем	2	6
48	не в	5	6
49	в свою	2	6
50	в форме	3	6
51	в конце	9	6
52	в нем	24	6
53	во всех	6	6
54	в процессе	4	6
55	так и	12	6
56	или как	4	6
57	уже в	2	5
58	в нашем	2	5
59	своей жизни	4	5
60	и следовательно	4	5
61	и является	2	5
62	не является	2	5
63	и их	8	5
64	те же	2	5
65	с помощью	2	5
66	а в	3	5
67	и с	4	5
68	одно и	3	5
69	в его	13	5
70	вместе с	3	5
71	в той	4	5
72	с точки	2	5
73	той же	2	5
74	слова и	2	5
75	самого начала	2	4
76	само собой	2	4
77	к тому	3	4
78	влияние на	4	4
79	с самого	2	4
80	но все	5	4
81	связаны с	3	4
82	о своей	2	4
83	в качестве	3	4
84	в самом	8	4
85	той или	2	4
86	один из	3	4
87	все это	4	4
88	того что	2	4
89	так же	6	4
90	его в	3	4
91	но в	10	4
92	если бы	5	4
93	и к	2	4
94	мы видим	3	4
95	если мы	2	4
96	к своему	2	4
97	уже не	2	4
98	и то	4	4
99	то есть	33	4
100	так сказать	7	4
101	в разных	5	3
102	его и	2	3
103	это не	6	3
104	для нас	2	3
105	и эта	2	3
106	но для	2	3
107	хотя и	3	3
108	жизни это	2	3
109	в котором	4	3
110	и уже	3	3
111	в целом	2	3
112	не к	2	3
113	жизни и	8	3
114	лишь в	6	3
115	и даже	2	3
116	их в	3	3
117	сказать что	3	3
118	в начале	3	3
119	необходимо чтобы	2	3
120	в виду	3	3
121	вследствие этого	3	3
122	что было	3	3
123	и все	6	3
124	в одном	3	3
125	об этом	2	3
126	в ее	6	3
127	том что	4	3
128	еще не	5	3
129	в данной	2	3
130	конечно не	4	3
131	нет и	2	3
132	что и	3	3
133	отношения к	3	3
134	да и	3	3
135	только на	3	3
136	связь между	2	3
137	между ними	3	3
138	и для	4	3
139	роль в	9	3
140	выражение в	2	3
141	связи с	6	3
142	не знает	3	3
143	место в	2	2
144	где и	2	2
145	в частности	6	2
146	друг другу	2	2
147	человека и	11	2
148	человека в	17	2
149	вопрос о	2	2
150	в том	9	2
151	тому же	2	2
152	времени и	10	2
153	и нет	2	2
154	для него	2	2
155	до конца	4	2
156	в пределах	5	2
157	себе и	3	2
158	в этих	3	2
159	отношение к	2	2
160	в связи	5	2
161	в отношении	3	2
162	не было	7	2
163	этом отношении	3	2
164	еще и	2	2
165	все эти	9	2
166	но эта	3	2
167	и те	3	2
168	в которых	2	2
169	также и	2	2
170	все то	2	2
171	нет ничего	4	2
172	в жизни	6	2
173	в основе	5	2
174	ни к	3	2
175	для них	3	2
176	в какой-то	3	2
177	для всех	2	2
178	между собой	4	2
179	с этим	6	2
180	к этому	3	2
181	ясно что	2	2
182	значение и	3	2
183	есть не	3	2
184	но не	5	2
185	равно как	2	2
186	одной из	3	2
187	мы говорили	3	2
188	точном смысле	2	2
189	и потому	3	2
190	на развитие	2	2
191	и определяется	2	2
192	в своей	2	2
193	природы и	2	2
194	этот процесс	5	2
195	сих пор	3	2
196	как в	6	2
197	здесь не	4	2
198	в точном	2	2
199	в значительной	2	2
200	в дальнейшем	6	2
201	с ним	2	2
202	у них	2	2
203	или в	3	2
204	собой разумеется	2	2
205	между двумя	6	2
206	тем что	2	2
207	в каком	2	2
208	и вообще	2	2
