N	2gram	Tiupa_Anal_3	Tvorches
1	и в	18	20
2	в году	3	16
3	в романе	2	15
4	не только	22	13
5	никогда не	5	11
6	как бы	10	11
7	в его	7	10
8	таким образом	4	10
9	в то	3	10
10	и его	13	9
11	и не	12	9
12	прежде всего	5	8
13	в том	9	8
14	при этом	11	8
15	но и	13	8
16	может быть	9	8
17	в этом	14	8
18	это не	2	7
19	же время	3	7
20	что в	9	7
21	не может	2	7
22	то же	3	7
23	в конце	5	6
24	что он	4	6
25	как и	14	6
26	в целом	3	6
27	так и	14	6
28	все это	3	6
29	именно в	3	6
30	а не	9	6
31	в мире	5	5
32	еще не	6	5
33	но не	7	5
34	и сам	4	5
35	например в	2	5
36	все же	4	5
37	и даже	8	5
38	и на	4	5
39	в этой	6	5
40	о том	6	5
41	то есть	10	5
42	об этом	2	4
43	и от	2	4
44	мы не	3	4
45	в соответствии	2	4
46	том что	12	4
47	в дальнейшем	2	4
48	что они	3	4
49	отнюдь не	4	4
50	на его	2	4
51	хотя и	2	4
52	что она	2	4
53	когда он	2	4
54	как в	3	4
55	а а	5	4
56	все эти	2	4
57	тем самым	4	4
58	в принципе	2	4
59	не в	6	4
60	а в	10	4
61	и потому	2	4
62	ничего не	3	4
63	но в	2	4
64	к этому	3	3
65	отношению к	7	3
66	одна из	2	3
67	для него	6	3
68	что не	3	3
69	своего рода	8	3
70	в самом	5	3
71	он не	6	3
72	не является	5	3
73	по сути	2	3
74	один из	2	3
75	в нем	2	3
76	то что	2	3
77	вместе с	2	3
78	в их	6	3
79	по отношению	7	3
80	тогда как	20	3
81	уже не	5	3
82	тем что	2	3
83	в себе	2	3
84	в начале	6	3
85	у пушкина	3	3
86	его в	3	3
87	любви к	2	3
88	между тем	5	3
89	уже в	3	2
90	не менее	4	2
91	личности в	3	2
92	восходит к	3	2
93	и без	3	2
94	с другой	7	2
95	по крайней	4	2
96	в одном	4	2
97	во всяком	2	2
98	и ее	2	2
99	наш взгляд	2	2
100	крайней мере	4	2
101	в ее	3	2
102	в искусстве	2	2
103	тому же	3	2
104	на наш	2	2
105	в частности	12	2
106	о своих	2	2
107	всяком случае	2	2
108	к жизни	3	2
109	себя в	4	2
110	в первой	8	2
111	по преимуществу	2	2
112	приводит к	4	2
113	так в	3	2
114	в отличие	2	2
115	ли не	4	2
116	не было	3	2
117	сводится к	2	2
118	самом деле	2	2
119	связь с	2	2
120	другой стороны	5	2
121	и он	2	2
122	и по	2	2
123	роль в	3	2
124	не столько	3	2
125	не случайно	8	2
126	могут быть	2	2
127	говорить о	3	2
128	только в	2	2
129	как правило	5	2
130	в русской	7	2
131	героя и	4	2
132	так сказать	2	2
133	едва ли	3	2
134	отличие от	2	2
