N	2gram	Berdyaev_M_2	Literetu
1	не только	18	24
2	но и	15	17
3	а не	13	16
4	в том	3	16
5	том что	4	14
6	может быть	21	13
7	и не	18	12
8	в этом	20	12
9	прежде всего	12	11
10	в своем	8	11
11	такого рода	2	10
12	то что	5	10
13	в русской	6	10
14	не в	9	8
15	и в	46	8
16	только в	3	8
17	я не	5	7
18	в его	5	7
19	как бы	8	7
20	уже не	4	7
21	в себе	10	7
22	я и	2	7
23	в жизни	4	6
24	как и	13	6
25	связи с	2	6
26	на смену	3	6
27	себя в	4	6
28	того что	6	6
29	точки зрения	2	6
30	с его	4	5
31	что он	7	5
32	как в	7	5
33	не может	15	5
34	то же	5	5
35	уже в	2	5
36	для этого	4	4
37	это не	5	4
38	в конце	5	4
39	еще в	2	4
40	по преимуществу	5	4
41	в своей	5	4
42	так и	4	4
43	никогда не	18	4
44	лишь в	2	4
45	друг друга	12	4
46	и его	5	4
47	ведет к	13	4
48	в своих	3	4
49	в этой	7	4
50	с собой	2	4
51	в основе	2	3
52	не было	11	3
53	что в	4	3
54	и есть	8	3
55	самого себя	4	3
56	да и	2	3
57	в самом	5	3
58	не мог	3	3
59	у него	22	3
60	же и	2	3
61	в сфере	2	3
62	один из	5	3
63	жизни и	6	3
64	по отношению	2	3
65	бы не	2	3
66	а в	2	3
67	другого в	2	3
68	более чем	2	3
69	той же	3	3
70	потому что	12	3
71	к себе	2	3
72	но в	10	3
73	по своей	3	3
74	также и	4	3
75	его в	3	3
76	жизни не	2	2
77	на этом	2	2
78	во имя	16	2
79	у достоевского	34	2
80	ничего кроме	2	2
81	превращается в	2	2
82	та же	10	2
83	мир и	2	2
84	подобно тому	2	2
85	и нет	3	2
86	человека и	7	2
87	в мире	7	2
88	к тому	5	2
89	или иной	2	2
90	для него	18	2
91	и самого	3	2
92	друг для	2	2
93	на почве	3	2
94	должен быть	4	2
95	в нем	22	2
96	не есть	13	2
97	отношению к	2	2
98	не к	2	2
99	в сущности	2	2
100	то он	2	2
101	эта мысль	2	2
102	человеческого духа	5	2
103	чтобы не	3	2
104	что не	2	2
105	хотя бы	7	2
106	можно было	2	2
107	тому как	2	2
108	для друга	2	2
109	не случайно	2	2
110	между тем	2	2
111	тем что	3	2
112	самим собою	2	2
113	себе в	2	2
114	как будто	2	2
115	о том	3	2
116	как он	3	2
117	нет ничего	3	2
118	в россии	3	2
119	направленной на	2	2
120	а для	2	2
