N	2gram	Losev_Vlad_3	SlovoVZh
1	не может	14	16
2	точки зрения	13	14
3	может быть	8	14
4	и его	10	13
5	как бы	3	13
6	таким образом	11	12
7	и в	40	12
8	в нашем	2	11
9	и не	25	10
10	если бы	3	9
11	так как	7	9
12	прежде всего	10	8
13	для нас	5	7
14	сказать что	12	7
15	творца и	2	7
16	в нем	3	6
17	при этом	3	6
18	в том	18	6
19	только в	13	6
20	в ней	5	6
21	в жизни	2	5
22	то что	28	5
23	должна быть	2	5
24	никогда не	11	5
25	а не	8	5
26	то же	4	5
27	хотя бы	6	5
28	как и	7	5
29	том что	18	5
30	отнюдь не	5	5
31	что мы	2	5
32	но в	4	5
33	в виду	3	5
34	и к	2	4
35	все же	4	4
36	так и	6	4
37	от того	4	4
38	с другой	5	4
39	на самом	3	4
40	уже не	9	4
41	не в	3	4
42	в этом	16	4
43	и на	6	4
44	его в	2	4
45	дело в	5	4
46	в самом	4	4
47	к нему	3	4
48	за пределы	3	4
49	не только	25	4
50	в котором	4	3
51	и более	2	3
52	бы то	3	3
53	не к	2	3
54	не менее	9	3
55	в своей	9	3
56	быть и	2	3
57	то ни	3	3
58	и по	2	3
59	и вообще	3	3
60	все эти	5	3
61	по себе	6	3
62	но и	18	3
63	того что	7	3
64	и наконец	2	3
65	или не	3	3
66	тем не	10	3
67	ни в	10	3
68	да и	6	3
69	так же	8	3
70	мы не	2	3
71	и с	9	3
72	о том	11	3
73	в каком	4	3
74	в себе	9	3
75	для него	8	3
76	еще не	4	3
77	только на	5	3
78	и для	3	3
79	из этого	2	3
80	здесь не	3	3
81	но для	3	3
82	уже в	3	2
83	с этой	2	2
84	но мы	2	2
85	с его	2	2
86	что и	7	2
87	в настоящее	3	2
88	независимо от	3	2
89	но все	3	2
90	что в	17	2
91	как не	2	2
92	данном случае	2	2
93	вместе с	7	2
94	общего с	2	2
95	и так	2	2
96	в этих	2	2
97	на него	2	2
98	все они	2	2
99	в своем	8	2
100	в отношении	5	2
101	в какой	2	2
102	нет ничего	2	2
103	другой стороны	2	2
104	это не	3	2
105	мы имеем	3	2
106	и все	4	2
107	тому же	5	2
108	содержания и	2	2
109	с одной	3	2
110	к этому	2	2
111	и что	8	2
112	едва ли	11	2
113	не есть	10	2
114	не так	3	2
115	и вполне	2	2
116	с точки	6	2
117	и здесь	6	2
118	же самое	3	2
119	как на	3	2
120	стороны и	2	2
121	и притом	3	2
122	но это	6	2
123	такой же	4	2
124	в данном	5	2
125	и то	9	2
126	возможна только	2	2
127	но не	4	2
128	но что	2	2
129	одно и	2	2
130	еще раз	2	2
131	кроме того	6	2
132	до конца	4	2
133	она не	2	2
134	в то	7	2
135	одной стороны	3	2
136	настоящее время	3	2
137	ни на	2	2
138	можно найти	2	2
139	оно не	3	2
140	в чем	3	2
141	как это	4	2
142	является для	2	2
143	ничего не	5	2
144	к его	2	2
145	он не	8	2
146	в основном	4	2
147	в его	14	2
148	и потому	10	2
