N	2gram	Voloshinov_1	Formalny
1	и в	38	24
2	в его	6	23
3	прежде всего	21	22
4	и не	14	20
5	так и	6	18
6	и пр	4	17
7	не может	12	16
8	точки зрения	10	16
9	в этом	10	15
10	в нем	4	14
11	может быть	13	14
12	с точки	5	13
13	таким образом	7	13
14	как и	10	11
15	должно быть	2	11
16	социальной жизни	2	11
17	в своей	2	11
18	вовсе не	2	10
19	литературное произведение	2	10
20	и их	5	10
21	то же	14	10
22	в ней	8	10
23	а не	6	10
24	и его	7	10
25	и потому	2	9
26	в процессе	6	9
27	все это	4	9
28	в то	9	9
29	в ее	3	8
30	же время	7	8
31	в свою	6	8
32	то что	8	8
33	как в	2	8
34	лишь в	4	8
35	и на	6	8
36	не в	6	8
37	и с	5	8
38	место в	2	7
39	и от	7	7
40	не только	27	7
41	жизни и	3	7
42	но и	13	7
43	на самом	3	7
44	отнюдь не	10	6
45	и все	4	6
46	и здесь	3	6
47	было бы	7	6
48	как таковой	3	6
49	в том	2	6
50	в этой	6	6
51	самом деле	4	6
52	свою очередь	4	6
53	еще не	3	6
54	как бы	28	6
55	сих пор	2	6
56	в целом	4	6
57	а в	5	6
58	отношения к	3	6
59	все эти	2	6
60	социального общения	14	6
61	в живом	3	6
62	как это	5	6
63	хотя бы	18	5
64	должен быть	2	5
65	у нас	4	5
66	при этом	9	5
67	только на	3	5
68	во всех	6	5
69	в самом	4	5
70	как мы	9	5
71	того что	4	5
72	но в	5	5
73	мы увидим	5	4
74	с его	7	4
75	независимо от	5	4
76	главным образом	3	4
77	в частности	3	4
78	никогда не	7	4
79	социальной группы	3	4
80	с другими	2	4
81	и к	4	4
82	в мире	2	4
83	если бы	4	4
84	конечно не	3	4
85	так же	4	4
86	в связи	2	4
87	друг друга	2	4
88	в которой	7	4
89	но не	2	3
90	в отношении	2	3
91	связи с	3	3
92	он должен	3	3
93	в жизни	2	3
94	ясно что	2	3
95	или иного	5	3
96	что он	2	3
97	с помощью	6	3
98	смысле этого	2	3
99	к тому	4	3
100	для него	3	3
101	и как	9	3
102	но это	2	3
103	зависимости от	5	3
104	ни на	3	3
105	но для	3	3
106	он не	2	3
107	в социальной	3	3
108	если он	3	3
109	один из	4	3
110	все же	7	3
111	отношение к	2	3
112	всего в	3	3
113	влияние на	4	3
114	не было	2	3
115	мы не	9	3
116	тем самым	7	3
117	и наконец	5	3
118	и даже	3	3
119	между ними	3	3
120	его в	4	3
121	целый ряд	3	3
122	у них	2	3
123	в основе	2	3
124	в себе	9	3
125	этого слова	3	3
126	человек не	2	3
127	здесь не	2	3
128	так сказать	4	3
129	бы в	5	3
130	в области	5	3
131	того или	5	2
132	к миру	2	2
133	прежде чем	2	2
134	в душе	2	2
135	с тем	8	2
136	в нашем	5	2
137	в зависимости	5	2
138	его и	3	2
139	от их	2	2
140	это не	3	2
141	и развития	3	2
142	с этим	2	2
143	в одном	3	2
144	что было	3	2
145	вопрос о	2	2
146	мы ни	3	2
147	но эта	2	2
148	все время	5	2
149	нас не	2	2
150	уже не	4	2
151	природы или	4	2
152	мы видели	5	2
153	войти в	2	2
154	от чего	2	2
155	но все	4	2
156	в предыдущей	2	2
157	перейти к	2	2
158	если мы	4	2
159	материалом и	2	2
160	материальной действительности	3	2
161	только в	6	2
162	одной из	2	2
163	общения и	4	2
164	как таковое	2	2
165	от того	3	2
166	и является	5	2
167	нет и	3	2
168	не с	3	2
169	что и	3	2
170	на него	4	2
171	вместе с	5	2
172	для всякого	2	2
173	через нее	3	2
174	и содержание	2	2
175	и вот	3	2
176	не так	3	2
177	его не	2	2
178	между тем	3	2
179	даже и	2	2
180	в своих	2	2
181	на его	5	2
182	ничего не	8	2
183	но ведь	6	2
184	и это	7	2
185	с ним	2	2
186	как с	2	2
187	что такое	4	2
