N	2gram	Berdyaev_M_2	Komedia
1	и в	46	22
2	и не	18	21
3	т е	4	16
4	том что	4	13
5	в том	3	12
6	так как	8	11
7	ни в	3	10
8	потому что	12	10
9	до сих	3	9
10	в самом	5	9
11	вместе с	2	9
12	сих пор	3	9
13	если бы	3	8
14	в своем	8	8
15	что он	7	8
16	к ней	2	8
17	в его	5	8
18	что и	4	8
19	в этом	20	8
20	о том	3	8
21	его в	3	8
22	в свою	4	7
23	то же	5	7
24	а в	2	7
25	в конце	5	7
26	для того	5	6
27	к тому	5	6
28	может быть	21	6
29	и что	2	6
30	того чтобы	4	6
31	так что	2	6
32	и его	5	6
33	связи с	2	5
34	что в	4	5
35	прежде всего	12	5
36	хотя и	2	5
37	не только	18	5
38	в своей	5	5
39	отношение к	8	5
40	по отношению	2	5
41	он не	10	5
42	тем что	3	5
43	любви к	7	5
44	более чем	2	5
45	к нему	2	5
46	к себе	2	5
47	с ним	3	5
48	но в	10	5
49	у него	22	4
50	и здесь	6	4
51	он был	9	4
52	не в	9	4
53	до конца	4	4
54	в ней	11	4
55	то что	5	4
56	но и	15	4
57	что она	5	4
58	в отношении	5	4
59	а не	13	4
60	и для	7	4
61	друг друга	12	4
62	так же	6	4
63	точки зрения	2	4
64	в себе	10	4
65	бы в	2	4
66	так и	4	4
67	хотя бы	7	4
68	и поэтому	2	4
69	и с	3	4
70	с его	4	3
71	никогда не	18	3
72	в них	3	3
73	себе в	2	3
74	в нем	22	3
75	и к	7	3
76	как и	13	3
77	в этой	7	3
78	чем в	2	3
79	все что	4	3
80	и тот	2	3
81	как бы	8	3
82	один из	5	3
83	отношению к	2	3
84	не может	15	3
85	все равно	3	3
86	что не	2	3
87	не имеет	4	3
88	не так	3	3
89	любовь к	8	3
90	он так	2	3
91	не о	2	3
92	не знает	9	3
93	перед ним	4	3
94	как он	3	3
95	и этим	2	3
96	в которой	2	3
97	ничего не	2	3
98	в основе	2	2
99	уже в	2	2
100	сам он	2	2
101	все время	2	2
102	себя и	3	2
103	как в	7	2
104	не будет	3	2
105	это не	5	2
106	и все	5	2
107	человека и	7	2
108	в образе	3	2
109	если он	2	2
110	к своему	2	2
111	что они	3	2
112	она не	8	2
113	к человеку	12	2
114	и любовь	2	2
115	тот же	2	2
116	все к	2	2
117	не мог	3	2
118	и если	2	2
119	на его	2	2
120	в сущности	2	2
121	от того	3	2
122	и он	11	2
123	должен быть	4	2
124	человека не	4	2
125	во всех	2	2
126	его не	2	2
127	бы не	2	2
128	отношения к	2	2
129	не было	11	2
130	человека в	14	2
131	в мире	7	2
132	из этой	2	2
133	от своей	2	2
134	можно было	2	2
135	в своих	3	2
136	и на	3	2
137	людей и	3	2
138	тому что	4	2
139	между тем	2	2
140	и во	3	2
141	свою вину	2	2
142	нет ни	2	2
143	е в	2	2
144	его на	4	2
145	и это	5	2
146	нет ничего	3	2
