N	2gram	Medvedev_F_3	Psycholo
1	и в	27	38
2	то что	8	35
3	все время	6	30
4	в том	7	25
5	в самом	11	25
6	самом деле	16	21
7	что в	8	20
8	может быть	25	19
9	и что	3	18
10	что она	2	16
11	точки зрения	16	16
12	в ней	5	15
13	если бы	12	14
14	том что	4	14
15	как бы	8	14
16	и т	11	14
17	потому что	7	14
18	в этой	2	13
19	в этом	18	13
20	было бы	6	12
21	не только	9	12
22	мы увидим	2	12
23	таким образом	18	12
24	не в	12	12
25	что он	6	11
26	что это	3	10
27	в сущности	2	10
28	то же	15	10
29	же самое	3	10
30	и не	30	10
31	и все	8	10
32	с точки	14	9
33	того чтобы	5	9
34	увидим что	2	9
35	все же	6	8
36	с тем	7	8
37	вовсе не	28	8
38	для нас	3	8
39	как и	14	8
40	и как	4	8
41	как раз	8	8
42	из этого	4	8
43	для того	4	8
44	и это	2	8
45	с другой	6	7
46	в ее	4	7
47	а не	17	7
48	мы можем	4	7
49	никак не	3	7
50	не может	24	7
51	как мы	8	7
52	между тем	7	7
53	мы уже	3	7
54	из них	2	6
55	к тому	4	6
56	мы видели	4	6
57	она не	4	6
58	в котором	2	6
59	тому что	3	6
60	так как	9	6
61	если мы	7	6
62	как это	4	6
63	и его	19	6
64	и на	3	6
65	в которых	3	6
66	о том	4	6
67	ясно что	3	6
68	там где	7	6
69	должна быть	3	5
70	в своем	2	5
71	в какой	3	5
72	на этом	2	5
73	с такой	2	5
74	совершенно не	7	5
75	в своей	6	5
76	время в	3	5
77	вместе с	6	5
78	но и	10	5
79	другой стороны	5	5
80	т п	5	5
81	в той	3	5
82	действующих лиц	2	5
83	мы не	4	5
84	в его	7	5
85	так сказать	5	5
86	никогда не	5	4
87	что они	5	4
88	при этом	8	4
89	не можем	2	4
90	и для	6	4
91	конечно не	4	4
92	во всех	3	4
93	в самой	2	4
94	но если	2	4
95	в нем	15	4
96	что и	2	4
97	ее в	3	4
98	в целом	4	4
99	как в	4	4
100	смысл и	4	4
101	т д	6	4
102	все эти	6	4
103	того что	3	4
104	и даже	2	4
105	что этот	2	4
106	в своих	6	4
107	сказать что	3	4
108	в нас	2	4
109	и между	5	4
110	только в	8	4
111	одна из	2	4
112	в себе	3	4
113	в виду	3	4
114	место в	10	3
115	где она	2	3
116	она должна	2	3
117	в них	3	3
118	из этих	2	3
119	главным образом	2	3
120	к этому	2	3
121	из одного	2	3
122	в такой	2	3
123	ни в	8	3
124	он был	4	3
125	но это	2	3
126	совсем не	5	3
127	весь этот	2	3
128	того же	3	3
129	в основе	3	3
130	был бы	2	3
131	должен быть	2	3
132	в стихах	2	3
133	все это	7	3
134	это только	2	3
135	и только	2	3
136	бы не	2	3
137	в таком	2	3
138	именно это	2	3
139	и тем	3	3
140	тем что	5	3
141	в то	7	3
142	бы в	6	3
143	его в	7	3
144	здесь не	2	3
145	на тему	2	3
146	но в	6	3
147	в общем	2	2
148	в данном	6	2
149	не могут	10	2
150	всех этих	2	2
151	и более	3	2
152	видели что	2	2
153	была бы	2	2
154	в этих	3	2
155	смысле этого	2	2
156	отнюдь не	8	2
157	между собой	4	2
158	из нее	2	2
159	следует что	4	2
160	а вовсе	4	2
161	хотя бы	6	2
162	столь же	3	2
163	и во	2	2
164	на самом	14	2
165	во всяком	6	2
166	друг другу	2	2
167	что именно	5	2
168	и ее	6	2
169	до конца	4	2
170	уже не	3	2
171	у нас	3	2
172	находятся в	2	2
173	без всякой	2	2
174	такой же	2	2
175	у них	2	2
176	очевидно что	2	2
177	только то	3	2
178	слов и	4	2
179	том как	2	2
180	они не	4	2
181	жанра и	3	2
182	совпадает с	2	2
183	и очень	2	2
184	всяком случае	6	2
185	для этого	2	2
186	с ее	2	2
187	он может	2	2
188	вошел в	2	2
189	дело не	2	2
190	данном случае	4	2
191	со стороны	4	2
192	имеет место	3	2
193	к самому	2	2
194	что же	5	2
195	вытекает из	2	2
196	так же	9	2
197	в одной	5	2
198	отношения к	2	2
199	одной и	2	2
200	той же	3	2
201	в конце	3	2
202	их в	3	2
203	говорит он	5	2
204	и следовательно	3	2
205	к его	3	2
206	в истории	5	2
207	этого слова	2	2
208	ничего не	2	2
209	в эту	2	2
210	и действительно	2	2
211	для художественного	2	2
