N	2gram	Propp_Isto_7	KulturaY
1	т е	16	38
2	и т	17	33
3	в том	7	30
4	и в	24	24
5	потому что	9	23
6	том что	10	21
7	что в	13	17
8	было бы	2	15
9	т д	16	14
10	в этом	12	14
11	точки зрения	4	14
12	может быть	14	13
13	все же	9	12
14	таким образом	7	12
15	и не	4	12
16	не в	9	11
17	только в	6	11
18	вовсе не	4	10
19	в силу	2	10
20	в самом	2	10
21	не только	21	10
22	то что	7	9
23	прежде всего	2	9
24	того что	6	9
25	о том	9	9
26	так как	8	9
27	том чтобы	3	8
28	то же	8	8
29	уже не	2	8
30	а не	8	8
31	тем что	6	8
32	не менее	5	7
33	в них	3	7
34	с другой	9	7
35	связи с	3	7
36	в качестве	3	7
37	как бы	4	7
38	вместе с	7	7
39	не может	14	7
40	это не	10	7
41	так и	5	7
42	тогда когда	3	6
43	что он	21	6
44	при этом	4	6
45	что такое	2	6
46	но и	11	6
47	все это	8	6
48	другой стороны	8	6
49	все эти	2	6
50	мы имеем	12	6
51	не случайно	3	6
52	в которой	2	6
53	что это	6	5
54	но не	6	5
55	еще не	8	5
56	что не	2	5
57	например в	3	5
58	и что	10	5
59	не просто	2	5
60	а в	10	5
61	и его	3	5
62	с ним	5	5
63	с его	3	4
64	в этих	13	4
65	к себе	3	4
66	что эти	2	4
67	на то	3	4
68	в нем	6	4
69	в тех	5	4
70	по существу	4	4
71	что они	3	4
72	того же	2	4
73	из них	2	4
74	в первую	7	4
75	в таких	2	4
76	один из	7	4
77	что и	8	4
78	тем не	4	4
79	сих пор	3	4
80	со стороны	2	4
81	до сих	2	4
82	как в	12	4
83	с этим	2	4
84	того как	3	4
85	стоит в	2	4
86	так что	3	4
87	так же	6	4
88	и на	2	4
89	в данном	4	4
90	из этих	3	4
91	там где	5	4
92	уже в	3	3
93	если не	4	3
94	на себя	2	3
95	представление о	3	3
96	из одного	3	3
97	то это	5	3
98	мы увидим	6	3
99	связано с	3	3
100	и если	3	3
101	не имеют	2	3
102	на том	2	3
103	в котором	2	3
104	на его	2	3
105	когда он	3	3
106	что она	5	3
107	тому что	2	3
108	в связи	2	3
109	в особенности	2	3
110	в их	4	3
111	и даже	3	3
112	и он	3	3
113	и здесь	12	3
114	хотя и	3	3
115	они не	2	3
116	здесь не	2	3
117	а если	2	3
118	как это	2	3
119	не все	3	2
120	никогда не	4	2
121	превращается в	3	2
122	с этой	6	2
123	и все	6	2
124	этого не	2	2
125	и говорит	4	2
126	не всегда	4	2
127	не могут	2	2
128	не знаю	3	2
129	вопрос о	3	2
130	вместе со	2	2
131	в то	2	2
132	для нас	6	2
133	что его	2	2
134	как и	6	2
135	но все	4	2
136	тех случаях	4	2
137	тот же	2	2
138	конечно не	2	2
139	между прочим	3	2
140	очень много	2	2
141	себе и	3	2
142	если в	2	2
143	тем более	2	2
144	эти случаи	7	2
145	в состоянии	4	2
146	и тем	2	2
147	ее в	3	2
148	еще один	2	2
149	ни в	2	2
150	дело не	5	2
151	был в	2	2
152	а именно	6	2
153	так например	2	2
154	то и	4	2
155	он не	6	2
156	случаях когда	4	2
157	и становится	3	2
158	этих случаях	16	2
159	должны быть	3	2
160	на этот	2	2
161	не имеет	4	2
162	доказывает что	5	2
163	после чего	2	2
164	увидим что	2	2
165	во многих	2	2
166	или в	8	2
167	по своим	3	2
168	не столько	3	2
169	этой точки	3	2
170	видно что	5	2
171	е в	2	2
172	но вот	2	2
173	тогда как	3	2
174	ничего не	5	2
175	но в	5	2
