N	2gram	Bakhtin_sl_2	Analitik
1	может быть	37	29
2	в том	5	27
3	не может	20	22
4	и не	22	21
5	и в	39	18
6	а не	14	17
7	но и	21	17
8	не только	24	15
9	не в	9	14
10	как и	6	13
11	в его	7	13
12	в этом	16	13
13	том что	5	12
14	при этом	7	12
15	в себе	2	11
16	то есть	26	11
17	но не	6	10
18	то же	4	9
19	а в	4	9
20	в то	4	9
21	в той	4	8
22	нуждается в	2	8
23	но в	6	8
24	это не	5	6
25	прежде всего	8	6
26	или иной	5	6
27	же время	4	6
28	в сущности	6	6
29	себя в	8	6
30	той или	5	6
31	далеко не	2	6
32	должен быть	2	6
33	то что	2	6
34	в себя	2	6
35	в отличие	12	6
36	отличие от	13	6
37	по отношению	4	6
38	в основе	4	6
39	точки зрения	8	6
40	только в	5	6
41	и как	3	5
42	что в	3	5
43	как бы	7	5
44	отношению к	4	5
45	в их	2	5
46	и т.п	2	5
47	лишь в	3	5
48	и его	33	5
49	между тем	3	5
50	и на	4	5
51	о том	2	5
52	и более	2	4
53	истории литературы	3	4
54	могут быть	7	4
55	себя и	4	4
56	лишь при	2	4
57	с другой	5	4
58	не всегда	2	4
59	по себе	5	4
60	ни в	4	4
61	для того	2	4
62	в области	2	4
63	как предмет	4	4
64	не с	3	4
65	все же	6	4
66	вместе с	2	4
67	так и	15	4
68	дело с	4	4
69	именно в	2	4
70	уже не	5	4
71	с точки	3	4
72	с другими	4	4
73	в другом	2	4
74	с ним	7	4
75	смысла и	3	3
76	не могут	5	3
77	с его	7	3
78	человек в	6	3
79	однако в	2	3
80	в нашем	2	3
81	смысл его	2	3
82	хотя бы	3	3
83	и все	5	3
84	в собственном	3	3
85	в нем	19	3
86	и к	6	3
87	что он	2	3
88	она может	2	3
89	и т	35	3
90	еще не	7	3
91	одной стороны	5	3
92	одним из	2	3
93	он не	2	3
94	о нем	2	3
95	даже в	2	3
96	что и	3	3
97	а именно	2	3
98	смысл и	2	3
99	таким образом	8	3
100	с одной	5	3
101	того чтобы	2	3
102	к нему	3	3
103	в таком	4	3
104	автора и	2	3
105	т п	33	3
106	более того	2	3
107	как он	2	3
108	а также	3	3
109	оно может	2	3
110	в состав	3	3
111	может иметь	3	2
112	на роль	2	2
113	на фоне	4	2
114	никогда не	7	2
115	все эти	6	2
116	его и	2	2
117	для этого	4	2
118	национального языка	3	2
119	не столько	3	2
120	установкой на	3	2
121	тогда когда	2	2
122	говорит и	2	2
123	вовсе не	10	2
124	как уже	2	2
125	и потому	7	2
126	х годов	2	2
127	в противовес	2	2
128	отношение к	4	2
129	для него	7	2
130	в пределах	13	2
131	на его	2	2
132	ним и	2	2
133	за пределы	2	2
134	не все	2	2
135	один из	5	2
136	на каждом	2	2
137	в процессе	13	2
138	отличается от	2	2
139	здесь не	4	2
140	как к	3	2
141	на этом	3	2
142	отношения к	4	2
143	мифологическое мышление	2	2
144	той же	3	2
145	этом отношении	3	2
146	особенно в	2	2
147	роль в	2	2
148	как мы	7	2
149	также и	2	2
150	героя в	3	2
151	в данном	2	2
152	романа в	5	2
153	которые в	2	2
154	так как	4	2
155	и с	9	2
156	в новом	2	2
