N	2gram	Berdyaev_M_2	SlovoVZh
1	не может	15	16
2	точки зрения	2	14
3	может быть	21	14
4	и его	5	13
5	как бы	8	13
6	и в	46	12
7	в нашем	7	11
8	отношению к	2	11
9	по отношению	2	11
10	и не	18	10
11	если бы	3	9
12	так как	8	9
13	прежде всего	12	8
14	сказать что	3	7
15	в нем	22	6
16	все время	2	6
17	в том	3	6
18	только в	3	6
19	в ней	11	6
20	в жизни	4	5
21	то что	5	5
22	никогда не	18	5
23	а не	13	5
24	то же	5	5
25	хотя бы	7	5
26	как и	13	5
27	том что	4	5
28	как в	7	5
29	но в	10	5
30	и к	7	4
31	отношение к	8	4
32	жизни и	6	4
33	так и	4	4
34	от того	3	4
35	уже не	4	4
36	что не	2	4
37	не в	9	4
38	в этом	20	4
39	и на	3	4
40	его в	3	4
41	в самом	5	4
42	к нему	2	4
43	не только	18	4
44	в них	3	3
45	отношении к	3	3
46	не к	2	3
47	в своей	5	3
48	быть и	2	3
49	сих пор	3	3
50	как к	2	3
51	ее и	2	3
52	в такой	3	3
53	по себе	2	3
54	но и	15	3
55	того что	6	3
56	ни в	3	3
57	да и	2	3
58	так же	6	3
59	и с	3	3
60	о том	3	3
61	в себе	10	3
62	для него	18	3
63	до сих	3	3
64	и для	7	3
65	в творчестве	3	3
66	с ним	3	3
67	но для	2	3
68	между тем	2	3
69	место в	2	2
70	уже в	2	2
71	с его	4	2
72	что и	4	2
73	что в	4	2
74	на все	3	2
75	вместе с	2	2
76	себя и	3	2
77	в этих	2	2
78	от этой	2	2
79	в своем	8	2
80	в отношении	5	2
81	нет ничего	3	2
82	это не	5	2
83	и все	5	2
84	бы не	2	2
85	тогда когда	2	2
86	те же	5	2
87	любит и	2	2
88	и что	2	2
89	в атмосфере	2	2
90	не есть	13	2
91	не так	3	2
92	не способен	5	2
93	и здесь	6	2
94	и те	2	2
95	но это	8	2
96	человеческого общества	2	2
97	есть уже	4	2
98	до конца	4	2
99	она не	8	2
100	но этот	2	2
101	и самое	2	2
102	и та	2	2
103	оно не	2	2
104	в чем	3	2
105	ничего не	2	2
106	он не	10	2
107	в его	5	2
108	и потому	7	2
