N	2gram	Medvedev_V_1	FransuaR
1	и в	26	56
2	в романе	4	21
3	в его	14	18
4	таким образом	31	17
5	все эти	6	15
6	в этом	26	14
7	в том	15	13
8	так и	5	13
9	и его	6	12
10	в то	6	12
11	как бы	5	11
12	в них	4	11
13	то же	10	11
14	же время	5	10
15	еще не	2	10
16	только в	7	9
17	в самом	4	9
18	но и	10	9
19	и не	19	9
20	том что	8	8
21	не только	25	8
22	и др	9	8
23	в нем	6	8
24	во всех	6	8
25	и их	3	8
26	все это	10	8
27	и даже	2	8
28	в частности	11	7
29	у него	6	7
30	все они	2	6
31	прежде всего	13	6
32	вовсе не	3	6
33	в ее	4	6
34	в этой	4	6
35	точки зрения	3	6
36	связи с	4	6
37	но в	2	6
38	но не	2	5
39	с его	3	5
40	никогда не	4	5
41	в пределах	5	5
42	как и	7	5
43	одним из	5	5
44	он не	2	5
45	один из	5	5
46	мы видели	3	5
47	в процессе	16	5
48	что в	10	5
49	не было	7	5
50	в творчестве	3	5
51	роль в	4	5
52	в результате	5	5
53	во время	3	5
54	они не	2	5
55	так сказать	2	5
56	в области	2	5
57	что все	3	4
58	и ее	4	4
59	в себе	6	4
60	в качестве	11	4
61	например в	3	4
62	и к	3	4
63	образы и	5	4
64	в ней	2	4
65	и потому	2	4
66	даже в	5	4
67	с одной	2	4
68	того чтобы	3	4
69	в своих	2	4
70	их в	6	4
71	ту же	2	4
72	о том	10	4
73	в особенности	2	4
74	одна из	4	4
75	в которой	2	4
76	том числе	2	3
77	перед нами	4	3
78	всех этих	2	3
79	видели что	3	3
80	в своем	8	3
81	не подлежит	2	3
82	или меньшей	3	3
83	в образе	2	3
84	как например	2	3
85	главным образом	7	3
86	большей или	3	3
87	в большей	2	3
88	может быть	22	3
89	меньшей степени	2	3
90	что и	3	3
91	то что	6	3
92	в форме	3	3
93	в их	5	3
94	в связи	3	3
95	что для	3	3
96	еще и	2	3
97	в году	6	3
98	и наконец	2	3
99	не в	6	3
100	мы наблюдаем	2	3
101	другом месте	2	3
102	сказать что	5	3
103	между тем	5	3
104	к его	2	3
105	в другом	2	3
106	бы в	3	3
107	все его	2	3
108	только не	2	2
109	если бы	3	2
110	с другой	11	2
111	это не	7	2
112	в одном	4	2
113	человека и	3	2
114	к этому	9	2
115	что он	4	2
116	бы и	6	2
117	можно сказать	4	2
118	так например	2	2
119	говорит о	7	2
120	и как	3	2
121	многие из	2	2
122	др в	3	2
123	числе и	2	2
124	момент в	3	2
125	для него	8	2
126	одной стороны	2	2
127	было бы	7	2
128	из них	9	2
129	действительности и	7	2
130	себе и	2	2
131	а в	3	2
132	хотя и	2	2
133	между ними	3	2
134	в котором	3	2
135	все же	5	2
136	действующих лиц	5	2
137	в своей	4	2
138	когда он	3	2
139	вот как	4	2
140	вместе с	7	2
141	ни одного	2	2
142	что она	2	2
143	или менее	6	2
144	примеров можно	2	2
145	другой стороны	8	2
146	во всей	2	2
147	так же	3	2
148	как раз	3	2
149	не может	17	2
150	образов в	2	2
151	образом в	3	2
152	этом процессе	2	2
153	в значительной	3	2
154	а не	7	2
155	и отдельных	3	2
156	для того	3	2
157	из которых	2	2
158	и для	2	2
159	его в	3	2
160	в слове	3	2
161	между собою	2	2
162	также и	2	2
163	в которых	3	2
164	и при	5	2
165	но с	2	2
166	их и	4	2
167	он и	2	2
168	начиная с	2	2
169	что они	3	2
170	далеко не	2	2
171	с тем	3	2
172	мира и	3	2
173	отметить что	2	2
174	более или	6	2
175	нет ни	2	2
176	он говорит	5	2
