N	2gram	Berdyaev_N_1	Problemy
1	и в	16	43
2	и не	11	29
3	может быть	7	23
4	не может	16	18
5	но и	3	14
6	как и	7	14
7	в этом	7	13
8	в нем	5	12
9	не в	6	11
10	не только	5	11
11	прежде всего	4	10
12	и на	2	10
13	но в	2	10
14	никогда не	6	9
15	еще не	3	9
16	он не	8	9
17	лишь в	6	8
18	ведь и	2	7
19	в то	2	7
20	то что	4	7
21	а не	17	7
22	в том	8	6
23	и все	4	6
24	у него	2	6
25	хотя и	2	5
26	все это	5	5
27	все эти	2	5
28	а в	2	5
29	и с	2	5
30	о том	4	5
31	но не	2	5
32	и что	2	5
33	в себе	2	5
34	я не	2	4
35	что в	9	4
36	с другой	3	4
37	к тому	3	4
38	но это	6	4
39	должно быть	4	4
40	с его	6	4
41	в них	4	4
42	в своей	3	4
43	во всех	3	4
44	мы не	2	4
45	и это	2	4
46	не менее	4	3
47	должна быть	3	3
48	это не	4	3
49	такой же	2	3
50	есть в	2	3
51	но для	2	3
52	и даже	2	3
53	в жизни	5	3
54	не знает	6	3
55	и к	5	3
56	по существу	2	3
57	она не	3	3
58	за пределы	3	3
59	себя в	2	3
60	так и	2	3
61	уже не	2	3
62	другой стороны	2	3
63	и для	4	3
64	можно было	2	3
65	могут быть	2	3
66	мысли и	2	2
67	человека и	3	2
68	вопрос о	3	2
69	ни в	6	2
70	времени и	2	2
71	что такое	3	2
72	время как	2	2
73	в нашу	2	2
74	для чего	2	2
75	для этого	2	2
76	будет и	2	2
77	так же	2	2
78	сказать что	3	2
79	в категориях	2	2
80	с этим	2	2
81	этом смысле	2	2
82	быть в	2	2
83	одна из	2	2
84	по своему	4	2
85	с их	2	2
86	конечно не	3	2
87	не есть	3	2
88	и пр	3	2
89	как в	3	2
90	не во	4	2
91	том что	2	2
92	хотя бы	2	2
93	политики и	2	2
