N	2gram	Tiupa_Hudo_1	FransuaR
1	и в	19	65
2	то есть	18	45
3	и др	2	24
4	как бы	9	22
5	и не	15	22
6	вовсе не	2	18
7	и т.п	4	17
8	в том	18	16
9	в этом	11	15
10	но в	7	14
11	в нем	5	13
12	нового времени	2	13
13	прежде всего	4	11
14	и на	2	11
15	том числе	2	10
16	и его	12	10
17	и потому	2	10
18	не только	16	10
19	но и	10	10
20	так и	11	10
21	все эти	2	10
22	в его	9	9
23	во всех	3	9
24	все это	2	9
25	по своему	2	8
26	в своем	2	8
27	в основе	4	8
28	и другие	2	8
29	за пределы	2	8
30	его в	2	7
31	в области	6	7
32	точки зрения	10	7
33	только в	5	7
34	никогда не	2	6
35	не знает	3	6
36	том что	8	6
37	времени и	2	6
38	еще не	3	6
39	при этом	13	6
40	может быть	14	6
41	в отношении	3	6
42	в году	2	6
43	сказать что	4	6
44	одно из	2	6
45	с его	6	5
46	в одном	2	5
47	в частности	13	5
48	жизни в	2	5
49	в них	2	5
50	превращается в	2	5
51	потому что	3	5
52	отличие от	7	5
53	есть в	2	5
54	или иной	7	5
55	для него	4	5
56	в своей	5	5
57	той или	4	5
58	и одновременно	5	5
59	как в	2	5
60	как и	2	5
61	в той	3	5
62	с их	2	5
63	между тем	4	5
64	и к	3	4
65	не в	7	4
66	в этой	2	4
67	в узком	3	4
68	отношение к	5	4
69	в самом	5	4
70	в их	5	4
71	в отличие	7	4
72	на всех	2	4
73	мира и	2	4
74	между ними	4	4
75	культуры в	2	4
76	входит в	4	4
77	в жизни	2	4
78	что в	6	3
79	на время	2	3
80	не является	4	3
81	это не	2	3
82	что он	3	3
83	в ее	5	3
84	в самой	2	3
85	по своей	7	3
86	даже в	3	3
87	к нему	3	3
88	с точки	3	3
89	то что	4	3
90	как раз	3	3
91	не может	7	3
92	в себя	2	3
93	в форме	4	3
94	уже не	4	3
95	в системе	2	3
96	во всей	3	3
97	жизни как	3	3
98	с другой	7	3
99	жить и	2	3
100	в себе	9	3
101	в искусстве	7	3
102	далеко не	2	3
103	но как	2	3
104	с ним	2	3
105	в виду	5	3
106	мира в	2	3
107	ни к	2	2
108	но не	11	2
109	начиная с	2	2
110	к тому	4	2
111	узком значении	2	2
112	в противоположность	3	2
113	или даже	3	2
114	из этих	3	2
115	этих двух	2	2
116	можно сказать	5	2
117	начало и	2	2
118	в романе	3	2
119	от своего	2	2
120	одной стороны	2	2
121	например в	3	2
122	хотя и	3	2
123	он не	4	2
124	не вполне	2	2
125	и особенно	2	2
126	и для	2	2
127	в целом	3	2
128	к жизни	2	2
129	приводит к	5	2
130	таковы например	2	2
131	отношения к	2	2
132	с одной	2	2
133	не входит	2	2
134	того что	4	2
135	и по	2	2
136	или в	2	2
137	их в	3	2
138	в этих	3	2
139	речи и	3	2
140	могут быть	4	2
141	человеческих отношений	2	2
142	совершенно иной	2	2
143	о том	2	2
144	жизни но	2	2
145	из тех	2	2
146	и это	2	2
147	в чем	2	2
