N	2gram	Savitsky_P_1	KulturaY
1	т е	3	38
2	и т	3	33
3	в том	9	30
4	и в	14	24
5	потому что	3	23
6	том что	4	21
7	что в	4	17
8	для того	3	16
9	и пр	5	15
10	было бы	6	15
11	в этом	10	14
12	точки зрения	3	14
13	может быть	5	13
14	в его	2	12
15	и не	12	12
16	не в	5	11
17	только в	7	11
18	в силу	2	10
19	не только	17	10
20	хотя бы	8	10
21	если бы	4	9
22	то что	4	9
23	прежде всего	3	9
24	того что	2	9
25	с точки	3	9
26	то же	9	8
27	а не	2	8
28	как раз	2	8
29	не менее	2	7
30	в них	2	7
31	с другой	5	7
32	в качестве	9	7
33	как бы	4	7
34	не может	4	7
35	это не	3	7
36	в области	11	7
37	именно в	2	6
38	в ней	6	6
39	но и	6	6
40	все это	2	6
41	в которых	5	6
42	с тем	3	5
43	но не	3	5
44	например в	2	5
45	а в	4	5
46	между тем	3	5
47	xix века	6	5
48	и с	2	5
49	в частности	2	4
50	переход от	2	4
51	и потому	4	4
52	в нем	3	4
53	же в	4	4
54	есть в	2	4
55	в пределах	8	4
56	из них	2	4
57	со стороны	2	4
58	с этим	2	4
59	тем самым	3	4
60	с ними	3	4
61	в русском	2	4
62	как на	2	3
63	сводится к	3	3
64	в общем	2	3
65	и если	4	3
66	в котором	4	3
67	так называемые	2	3
68	в своем	4	3
69	не было	2	3
70	должно быть	2	3
71	хотя и	3	3
72	в себе	3	3
73	для них	2	2
74	и есть	2	2
75	по себе	4	2
76	в смысле	6	2
77	слова но	2	2
78	в то	7	2
79	для нас	2	2
80	и как	3	2
81	же время	7	2
82	тот же	3	2
83	было в	2	2
84	и мы	2	2
85	между прочим	2	2
86	никак не	2	2
87	если в	2	2
88	тем более	2	2
89	и тем	2	2
90	не столько	2	2
91	которое в	2	2
92	нужно было	2	2
93	заключается в	3	2
94	но в	9	2
95	но также	4	2
