N	3gram	Medvedev_V_1	Problema
1	по отношению к	7	19
2	и т п	9	13
3	не может быть	8	11
4	в художественном творчестве	5	9
5	в художественном произведении	4	4
6	с другой стороны	8	4
7	во всех его	2	4
8	в конечном счете	5	4
9	то же время	5	3
10	в то же	5	3
11	с одной стороны	2	3
12	можно было бы	2	3
13	в противном случае	2	3
14	в том что	5	3
15	и в то	3	2
16	не только в	2	2
17	и художественного творчества	2	2
18	можно сказать что	4	2
19	и не может	2	2
20	в этом отношении	13	2
21	и др в	3	2
22	для того чтобы	3	2
