N	2gram	Potebnia_M_1	Istorich
1	и в	39	22
2	в этом	15	17
3	и т	6	16
4	т д	4	15
5	что в	22	15
6	не только	21	14
7	мы видели	4	13
8	но и	20	12
9	и не	18	12
10	может быть	27	11
11	в этих	7	11
12	или в	2	11
13	еще не	6	10
14	таким образом	13	10
15	но в	9	10
16	в нем	20	9
17	что и	6	9
18	вместе с	8	9
19	в том	26	9
20	с этим	7	8
21	том что	16	8
22	мы видим	4	8
23	как мы	2	8
24	другой стороны	5	7
25	с другой	7	7
26	но не	8	7
27	то что	10	7
28	уже не	2	7
29	мы должны	3	7
30	так как	21	7
31	там где	4	7
32	связи с	3	6
33	в них	3	6
34	это не	7	6
35	не все	2	6
36	связь с	2	6
37	то и	7	6
38	а в	5	6
39	то же	6	6
40	в течение	2	6
41	а не	21	6
42	друг друга	5	6
43	мы можем	2	6
44	если бы	14	6
45	не менее	6	5
46	показывает что	3	5
47	тем не	6	5
48	так что	16	5
49	все же	6	5
50	он не	3	5
51	того что	8	5
52	могут быть	9	5
53	в этой	3	5
54	в другой	3	4
55	у нас	2	4
56	не в	15	4
57	только в	25	4
58	в свою	4	4
59	она не	3	4
60	одним из	2	4
61	к ней	2	4
62	что на	6	4
63	для нас	9	4
64	и его	5	4
65	не может	22	4
66	но он	2	4
67	тем что	9	4
68	в других	2	4
69	и с	3	4
70	для них	2	3
71	и от	3	3
72	и все	3	3
73	не видно	5	3
74	прежде всего	4	3
75	уже с	2	3
76	стороны и	2	3
77	не что	2	3
78	к тому	4	3
79	как и	9	3
80	и как	6	3
81	но это	5	3
82	за ним	2	3
83	все что	2	3
84	было бы	12	3
85	мы увидим	3	3
86	между прочим	2	3
87	в его	5	3
88	никогда не	4	3
89	в целом	2	3
90	со стороны	8	3
91	так же	5	3
92	иное как	2	3
93	сказать что	3	3
94	потому что	52	3
95	их и	2	3
96	из этих	4	3
97	что иное	2	3
98	о том	2	3
99	при помощи	2	3
100	не было	4	2
101	с тем	5	2
102	независимо от	6	2
103	только не	2	2
104	и есть	2	2
105	друг другу	3	2
106	в животном	2	2
107	но тем	3	2
108	точно так	11	2
109	в одном	8	2
110	в жизни	3	2
111	на все	2	2
112	вовсе не	5	2
113	вопрос о	4	2
114	во всяком	3	2
115	же в	2	2
116	связанное с	2	2
117	но все	2	2
118	от него	4	2
119	и более	2	2
120	с одной	3	2
121	как в	10	2
122	при этом	6	2
123	одной стороны	3	2
124	одного из	2	2
125	не мог	3	2
126	и о	2	2
127	хотя и	3	2
128	в ней	7	2
129	его на	2	2
130	и потому	5	2
131	относится к	3	2
132	для нее	2	2
133	не имеет	5	2
134	то это	5	2
135	отношению к	13	2
136	и это	3	2
137	после этого	2	2
138	жизни и	2	2
139	нет ничего	2	2
140	образом и	2	2
141	так и	13	2
142	не имеют	5	2
143	только на	3	2
144	по отношению	13	2
145	в своем	3	2
146	не могла	2	2
147	никто не	3	2
148	той же	3	2
149	если не	2	2
150	еще более	2	2
151	этот вопрос	2	2
152	из того	2	2
153	там же	9	2
154	перейти к	2	2
155	и что	10	2
156	что не	10	2
157	и даже	4	2
158	есть только	11	2
159	и для	5	2
160	несомненно что	2	2
161	та что	2	2
162	и то	3	2
163	из которого	3	2
164	то мы	2	2
165	между тем	5	2
166	точки зрения	8	2
167	известно что	2	2
168	в то	4	2
169	видно что	2	2
170	как будто	2	2
171	во многих	2	2
172	то не	3	2
173	что по	3	2
