N	2gram	Tiupa_Lite_3	Problemy
1	и в	16	35
2	как бы	8	31
3	и не	22	27
4	что он	5	24
5	в его	6	21
6	но в	3	19
7	не может	8	18
8	к себе	8	18
9	как и	5	18
10	себе самому	3	18
11	в нем	2	16
12	то есть	5	16
13	то же	9	15
14	но и	14	14
15	для него	2	14
16	может быть	12	14
17	и его	6	14
18	в этом	14	14
19	что я	5	13
20	прежде всего	3	12
21	и с	2	12
22	и к	3	12
23	в другом	6	12
24	в то	9	11
25	а я	3	10
26	не в	10	10
27	самом деле	3	10
28	же время	7	10
29	не только	14	10
30	то что	12	10
31	я не	2	8
32	так и	9	8
33	себя и	2	8
34	потому что	3	8
35	все же	2	8
36	как мы	2	8
37	и для	4	8
38	и сам	2	7
39	лишь в	5	7
40	так же	2	7
41	а в	5	7
42	самим собой	3	7
43	и наконец	3	7
44	точки зрения	7	7
45	с его	6	7
46	еще не	6	7
47	для себя	2	7
48	отношению к	4	7
49	там где	3	7
50	что в	2	6
51	к тому	6	6
52	отношение к	2	6
53	в самом	3	6
54	что у	2	6
55	и на	2	6
56	не знает	2	6
57	в одном	4	6
58	но не	4	6
59	и т.п	6	6
60	в слове	3	6
61	по отношению	4	6
62	только в	7	6
63	в конце	2	5
64	в том	12	5
65	диалог с	2	5
66	от себя	2	5
67	и даже	2	5
68	с ними	2	5
69	он и	2	5
70	даже в	4	5
71	как в	5	5
72	в себе	6	5
73	все время	3	4
74	никогда не	4	4
75	с другой	6	4
76	или иной	2	4
77	в мире	16	4
78	до конца	4	4
79	на его	3	4
80	и вот	2	4
81	между тем	3	4
82	той или	2	4
83	его в	2	4
84	сознания и	2	4
85	как раз	2	4
86	по себе	2	4
87	так чтобы	2	4
88	наконец в	3	4
89	еще в	3	4
90	полемика с	2	4
91	в своей	7	4
92	другого в	4	4
93	а не	12	4
94	что не	2	4
95	тем что	2	4
96	он в	2	4
97	я в	7	4
98	как будто	4	4
99	то ни	2	3
100	ни было	2	3
101	тому же	5	3
102	знает что	2	3
103	из рассказа	2	3
104	как ты	2	3
105	отношением к	2	3
106	с ее	3	3
107	бы то	2	3
108	в целом	5	3
109	из них	4	3
110	другой стороны	2	3
111	я как	4	3
112	это как	3	3
113	того что	9	3
114	должно быть	4	3
115	это не	5	3
116	в начале	4	3
117	а так	2	3
118	эти слова	2	3
119	не как	2	3
120	в ее	5	3
121	том что	8	3
122	было бы	2	3
123	со всеми	2	3
124	во всех	2	3
125	не могу	2	3
126	что и	2	3
127	когда он	2	3
128	уже не	3	3
129	не менее	2	2
130	в сторону	3	2
131	с этой	2	2
132	он все	2	2
133	вопрос о	2	2
134	при этом	15	2
135	например в	3	2
136	хотя и	4	2
137	я к	2	2
138	тому как	3	2
139	по своей	3	2
140	о том	6	2
141	в первом	2	2
142	я и	10	2
143	вне себя	2	2
144	для его	3	2
145	однако в	4	2
146	и другого	2	2
147	в жизни	8	2
148	не знаю	2	2
149	мы с	2	2
150	найти себя	2	2
151	а затем	3	2
152	раз в	2	2
153	то в	3	2
154	о нем	2	2
155	еще один	2	2
156	но уже	3	2
157	себя в	7	2
158	своего рода	10	2
159	вместе с	5	2
160	в самый	2	2
161	бы и	3	2
162	им в	2	2
163	в отличие	5	2
164	и как	3	2
165	с точки	3	2
166	той же	3	2
167	не случайно	3	2
168	и об	2	2
169	подобно тому	2	2
170	за ним	2	2
171	один в	2	2
172	в каждой	2	2
173	отличие от	5	2
