N	2gram	Losev_Vesc_1	Problema
1	и в	21	30
2	в своей	5	22
3	то что	27	18
4	не только	36	18
5	том что	8	17
6	в этом	4	17
7	и даже	6	14
8	но и	18	13
9	таким образом	8	13
10	потому что	16	13
11	в том	8	12
12	в его	2	12
13	и не	29	12
14	также и	6	12
15	о том	6	12
16	в своем	6	11
17	у него	2	11
18	так что	5	11
19	для нас	2	10
20	точки зрения	5	10
21	в этой	3	10
22	все же	4	9
23	сказать что	17	9
24	но в	5	9
25	только в	14	9
26	и все	5	9
27	в конце	2	8
28	вовсе не	10	8
29	никак не	3	8
30	хотя и	4	8
31	с точки	3	8
32	никогда не	2	7
33	у нас	7	7
34	как и	8	7
35	но не	5	7
36	может быть	16	7
37	так и	3	7
38	мы находим	2	7
39	не в	5	7
40	в результате	3	7
41	с другой	6	6
42	прежде всего	9	6
43	можно сказать	6	6
44	уже не	9	6
45	и как	8	6
46	и для	9	6
47	как бы	12	6
48	конце концов	2	6
49	в нем	2	6
50	что и	3	6
51	другой стороны	2	6
52	тут же	2	6
53	и что	15	6
54	а в	4	6
55	и его	2	6
56	его в	2	6
57	при помощи	2	6
58	так как	7	6
59	не менее	3	5
60	нисколько не	4	5
61	с тем	5	5
62	что в	9	5
63	что у	5	5
64	тем не	3	5
65	в силу	3	5
66	в самом	9	5
67	и их	7	5
68	и о	3	5
69	для себя	5	5
70	не может	17	5
71	не просто	19	5
72	а не	19	5
73	и у	3	5
74	и притом	3	5
75	и то	10	5
76	но он	2	5
77	как раз	9	5
78	и с	8	5
79	мы можем	4	5
80	если не	3	4
81	еще и	8	4
82	отнюдь не	5	4
83	но даже	3	4
84	по крайней	4	4
85	тогда когда	5	4
86	все еще	3	4
87	ясно что	8	4
88	в смысле	12	4
89	об этом	3	4
90	говорится о	2	4
91	того же	5	4
92	было бы	14	4
93	крайней мере	4	4
94	а с	3	4
95	или в	2	4
96	нас в	3	4
97	даже и	4	4
98	в себе	14	4
99	в то	3	4
100	в самой	2	3
101	еще более	2	3
102	в отношении	4	3
103	не что	7	3
104	но только	3	3
105	в ее	7	3
106	что иное	7	3
107	что они	6	3
108	тот же	3	3
109	знает что	2	3
110	только тогда	3	3
111	еще не	8	3
112	одной стороны	3	3
113	для того	2	3
114	нет никакой	2	3
115	нет никакого	2	3
116	а потом	2	3
117	и тем	3	3
118	иное как	7	3
119	с одной	3	3
120	только и	2	3
121	того что	8	3
122	есть только	7	3
123	от этого	2	3
124	быть только	3	3
125	в ней	12	3
126	в другом	2	3
127	и другое	4	3
128	с ним	8	3
129	в одном	2	3
130	в виду	2	3
131	я не	4	2
132	и без	3	2
133	хотя бы	6	2
134	это не	5	2
135	во втором	2	2
136	с этой	4	2
137	один из	3	2
138	была бы	2	2
139	по себе	13	2
140	со всей	2	2
141	на то	4	2
142	к тому	3	2
143	то же	6	2
144	как мы	4	2
145	без всякого	4	2
146	да и	3	2
147	по существу	2	2
148	не будет	12	2
149	равно как	2	2
150	и сама	3	2
151	в свою	4	2
152	кроме того	4	2
153	жизни и	2	2
154	в данном	5	2
155	что не	5	2
156	мы имеем	7	2
157	но для	2	2
158	всяком случае	2	2
159	и делает	2	2
160	в котором	3	2
161	но уже	3	2
162	бы то	4	2
163	из них	4	2
164	в первой	2	2
165	себя самого	2	2
166	данном случае	2	2
167	но еще	3	2
168	вообще и	4	2
169	то и	4	2
170	и только	3	2
171	до всякого	2	2
172	то ни	4	2
173	все эти	3	2
174	тех или	5	2
175	мы не	6	2
176	самом деле	4	2
177	того чтобы	3	2
178	свидетельствует о	3	2
179	но ясно	3	2
180	и тут	3	2
181	можно было	2	2
182	сознательно и	2	2
183	во всяком	3	2
184	что только	3	2
185	тем что	2	2
186	как с	4	2
187	по своей	2	2
188	дело в	4	2
189	ли в	3	2
190	в чем	6	2
191	ничего не	3	2
192	не то	4	2
