N	2gram	Medvedev_F_3	Tvorches
1	и в	27	21
2	как бы	8	17
3	в то	7	15
4	в его	7	13
5	то же	15	13
6	что в	8	12
7	как и	14	12
8	же время	7	12
9	с его	2	11
10	том что	4	11
11	в романе	4	10
12	все это	7	10
13	как в	4	8
14	то что	8	8
15	в том	7	7
16	при этом	8	7
17	не только	9	7
18	и не	30	7
19	и на	3	7
20	но в	6	7
21	что он	6	6
22	жизни в	3	6
23	и все	8	6
24	не менее	7	6
25	в котором	2	6
26	человека в	2	6
27	и его	19	6
28	в этом	18	6
29	о том	4	6
30	отнюдь не	8	5
31	вовсе не	28	5
32	а не	17	5
33	но это	2	5
34	может быть	25	5
35	в этой	2	5
36	все же	6	5
37	таким образом	18	5
38	хотя бы	6	5
39	в своих	6	5
40	потому что	7	5
41	только в	8	5
42	в своем	2	4
43	человека и	2	4
44	прежде всего	4	4
45	и как	4	4
46	в целом	4	4
47	одной из	2	4
48	одним из	3	4
49	в своей	6	4
50	не может	24	4
51	это не	3	4
52	и от	11	4
53	в основном	2	4
54	место в	10	3
55	уже в	4	3
56	никогда не	5	3
57	с другой	6	3
58	в каждом	5	3
59	с ее	2	3
60	это и	2	3
61	в дальнейшем	5	3
62	но не	5	3
63	в самом	11	3
64	той же	3	3
65	но если	2	3
66	даже в	2	3
67	в нем	15	3
68	и т	11	3
69	жизни и	4	3
70	время в	3	3
71	но и	10	3
72	дело не	2	3
73	ее в	3	3
74	уже не	3	3
75	на земле	2	3
76	на самом	14	3
77	того что	3	3
78	и даже	2	3
79	так же	9	3
80	и с	3	3
81	в россии	2	3
82	на протяжении	2	3
83	ту же	2	3
84	дело в	2	3
85	так как	9	3
86	в основе	3	2
87	такой же	2	2
88	этом романе	3	2
89	а что	3	2
90	однако в	2	2
91	в этих	3	2
92	в стихах	2	2
93	и мир	2	2
94	в жизни	11	2
95	к этому	2	2
96	ее и	2	2
97	в литературе	6	2
98	можно сказать	3	2
99	что и	2	2
100	не в	12	2
101	то в	2	2
102	одна из	2	2
103	того же	3	2
104	между людьми	3	2
105	от других	2	2
106	до конца	4	2
107	из них	2	2
108	действительности и	6	2
109	действительности в	3	2
110	к тому	4	2
111	только на	4	2
112	в одной	5	2
113	в ней	5	2
114	же и	4	2
115	в него	3	2
116	был бы	2	2
117	и внутреннего	2	2
118	и тем	3	2
119	тем не	2	2
120	еще в	3	2
121	вместе с	6	2
122	данном случае	4	2
123	жизни с	2	2
124	так и	21	2
125	в отличие	2	2
126	человека как	2	2
127	что она	2	2
128	самом деле	16	2
129	в направлении	5	2
130	и притом	2	2
131	отличие от	2	2
132	и необходимости	2	2
133	сказать что	3	2
134	могут быть	4	2
135	в данном	6	2
136	в себе	3	2
137	т п	5	2
138	героя и	2	2
139	переходит в	2	2
140	так сказать	5	2
141	в виду	3	2
