N	2gram	Bakhtin_Fr_5	Otkroven
1	у него	4	22
2	и в	45	19
3	но и	10	13
4	и не	15	13
5	в этом	14	12
6	а не	4	11
7	не в	7	11
8	может быть	2	11
9	не только	14	11
10	и все	7	10
11	в нем	10	10
12	не было	3	9
13	в самой	8	9
14	потому что	7	9
15	прежде всего	10	9
16	и он	3	8
17	он был	7	8
18	лишь в	2	7
19	но он	3	7
20	он не	6	7
21	в его	13	7
22	все это	7	6
23	как и	10	6
24	то что	2	5
25	а в	4	5
26	в том	10	5
27	для него	3	5
28	в этой	6	5
29	в самом	4	5
30	с его	7	4
31	и мысли	2	4
32	того чтобы	6	4
33	и его	13	4
34	все эти	5	4
35	не может	5	4
36	что в	12	4
37	к нему	2	3
38	чем на	2	3
39	не могут	2	3
40	и есть	2	3
41	мысли и	6	3
42	это не	3	3
43	и вот	3	3
44	что он	6	3
45	того что	3	3
46	для того	6	3
47	хотя бы	2	3
48	и от	4	3
49	было бы	2	3
50	когда он	2	3
51	о том	4	3
52	с ним	5	3
53	как бы	12	3
54	это было	4	3
55	в этот	2	2
56	свобода и	3	2
57	с которой	2	2
58	все же	2	2
59	что и	7	2
60	он в	2	2
61	и для	3	2
62	с тем	2	2
63	и там	2	2
64	в истории	2	2
65	так и	6	2
66	жизни в	2	2
67	в своем	11	2
68	за все	2	2
69	что все	2	2
70	к этому	2	2
71	свободы и	2	2
72	и к	5	2
73	не имеет	3	2
74	его не	4	2
75	том что	7	2
76	своей жизни	2	2
77	в другом	3	2
78	и на	5	2
79	сказать что	4	2
80	и с	10	2
81	одно из	2	2
82	него не	2	2
83	ведь это	2	2
84	его в	5	2
85	в своей	3	2
86	и ни	3	2
87	так как	6	2
88	и о	4	2
89	ничего не	4	2
90	хотя и	5	2
91	к ней	2	2
92	но в	14	2
93	в уста	2	2
