N	2gram	Propp_Isto_4	Psycholo
1	то что	16	32
2	и в	26	31
3	в том	3	30
4	и т	27	26
5	что в	14	23
6	может быть	14	22
7	таким образом	10	20
8	при помощи	10	20
9	при этом	3	19
10	совершенно ясно	2	19
11	так как	9	18
12	не может	6	17
13	как и	7	16
14	том что	3	16
15	и не	9	16
16	только в	3	14
17	а не	6	13
18	не только	15	13
19	что и	9	13
20	так же	18	12
21	в этом	7	12
22	могут быть	6	11
23	не в	5	11
24	в области	2	11
25	на то	3	10
26	того что	2	10
27	потому что	6	10
28	по себе	2	9
29	ни в	2	9
30	как в	7	9
31	никогда не	2	8
32	вместе с	6	8
33	все это	2	8
34	т д	24	8
35	и что	5	8
36	что мы	3	8
37	что он	10	7
38	есть в	2	7
39	только тогда	3	7
40	и его	10	7
41	сказать что	2	7
42	о том	4	7
43	что это	2	6
44	вовсе не	4	6
45	было бы	2	6
46	если бы	2	6
47	из этих	3	6
48	а в	8	6
49	что она	3	6
50	и даже	4	6
51	в его	5	6
52	и есть	2	5
53	формы и	2	5
54	и все	2	5
55	показывает что	10	5
56	все же	9	5
57	так что	2	5
58	мы видим	6	5
59	для нас	3	5
60	она не	3	5
61	говорит что	2	5
62	как бы	3	5
63	в целом	2	5
64	другой стороны	4	5
65	то же	8	5
66	с другой	4	5
67	и другие	3	4
68	в себе	2	4
69	указывает на	4	4
70	по существу	3	4
71	что я	2	4
72	же как	13	4
73	одна из	2	4
74	мы увидим	3	4
75	у него	5	4
76	и если	3	4
77	у нас	2	4
78	в этих	7	4
79	к этому	5	4
80	те же	3	4
81	и у	5	4
82	с этой	2	4
83	мы можем	6	4
84	этого слова	2	4
85	там где	3	4
86	как это	3	4
87	могло бы	2	4
88	мы имеем	7	4
89	уже в	2	3
90	не могут	2	3
91	с тем	2	3
92	в частности	2	3
93	к которым	5	3
94	его и	2	3
95	в своем	2	3
96	что у	3	3
97	точно так	5	3
98	должна быть	2	3
99	вопрос о	4	3
100	что на	2	3
101	мы знаем	8	3
102	чтобы вызвать	3	3
103	это и	5	3
104	но это	3	3
105	в силу	5	3
106	но не	5	3
107	все что	4	3
108	до сих	5	3
109	из которых	5	3
110	например в	3	3
111	в этой	2	3
112	хотя и	2	3
113	он не	7	3
114	но мы	3	3
115	сих пор	5	3
116	не есть	2	3
117	в своей	4	3
118	так и	10	3
119	и других	3	3
120	от того	2	3
121	и вот	2	3
122	и по	5	3
123	в которых	4	3
124	в одной	3	3
125	и только	5	3
126	с этим	2	3
127	во всем	3	3
128	что эта	3	3
129	но в	5	3
130	т е	18	3
131	не менее	2	2
132	на вопрос	3	2
133	видели что	3	2
134	что образ	2	2
135	в немецкой	2	2
136	в другой	3	2
137	главным образом	2	2
138	и как	5	2
139	бы мы	2	2
140	и там	2	2
141	и во	2	2
142	не всегда	6	2
143	и здесь	5	2
144	смысле этого	2	2
145	тем не	2	2
146	уже не	5	2
147	мы считаем	2	2
148	представляет собой	2	2
149	что они	6	2
150	что здесь	7	2
151	в качестве	7	2
152	не дает	2	2
153	это мы	2	2
154	и тот	2	2
155	о чем	3	2
156	и их	2	2
157	большей частью	3	2
158	видим что	2	2
159	показывает как	2	2
160	даже в	4	2
161	и тем	2	2
162	в нем	2	2
163	мы видели	6	2
164	отношение к	2	2
165	из них	2	2
166	когда он	6	2
167	но и	12	2
168	в мышлении	2	2
169	говорит о	2	2
170	как мы	5	2
171	только что	3	2
172	что есть	2	2
173	в связи	2	2
174	же самое	2	2
175	он же	2	2
176	к нему	6	2
177	есть только	3	2
178	от него	2	2
179	увидим что	2	2
180	ничего не	5	2
181	к ним	2	2
182	их в	7	2
183	и с	5	2
184	и то	6	2
185	на это	2	2
186	его в	9	2
187	как он	6	2
188	тех же	2	2
189	к этой	3	2
190	в одном	5	2
