N	2gram	Bakhtin_fo_2	Poddanst
1	не только	11	17
2	и в	46	14
3	и не	9	12
4	в отношении	2	10
5	в этом	22	10
6	то же	8	9
7	в том	10	9
8	в качестве	3	9
9	но в	10	9
10	в пределах	5	8
11	же время	4	7
12	в то	5	7
13	только в	11	7
14	но и	9	6
15	в смысле	5	6
16	было бы	2	6
17	с другой	2	5
18	не в	9	5
19	в которых	3	5
20	и пр	2	5
21	и о	2	5
22	может быть	7	5
23	же в	4	4
24	в котором	4	4
25	то что	7	4
26	что в	5	4
27	в своем	5	4
28	не может	2	4
29	по себе	2	4
30	и к	2	4
31	а в	3	4
32	том что	4	4
33	а также	3	4
34	как бы	10	4
35	и потому	2	4
36	сами по	2	3
37	в нем	5	3
38	и т	14	3
39	с тем	2	3
40	это не	2	3
41	с одной	2	3
42	прежде всего	14	3
43	для того	8	3
44	с точки	8	3
45	и как	3	3
46	но не	5	3
47	могут быть	2	3
48	точки зрения	10	3
49	в себе	4	3
50	тот же	3	3
51	наряду с	2	3
52	потому что	8	3
53	хотя и	3	3
54	том числе	3	2
55	в мире	4	2
56	именно в	2	2
57	и есть	2	2
58	во всех	11	2
59	в частности	5	2
60	отнюдь не	4	2
61	друг другу	2	2
62	тем более	3	2
63	в них	7	2
64	все это	6	2
65	она ни	3	2
66	отношения к	4	2
67	с этим	5	2
68	еще более	4	2
69	и других	2	2
70	и вот	2	2
71	а не	4	2
72	того что	3	2
73	должно быть	5	2
74	как на	2	2
75	говорить о	2	2
76	если в	2	2
77	не было	3	2
78	из них	8	2
79	и это	2	2
80	в ряду	4	2
81	в его	8	2
82	и с	6	2
