N	2gram	Nazirov_Tv_1	TeoriaLi
1	в мире	4	24
2	не только	7	18
3	в качестве	2	17
4	и не	7	16
5	а в	6	14
6	в частности	2	13
7	и в	21	13
8	может быть	5	12
9	так и	2	12
10	то есть	12	12
11	представляет собой	3	11
12	при этом	7	11
13	в этом	6	11
14	в том	7	11
15	но не	3	10
16	а не	5	10
17	и его	6	10
18	в его	13	9
19	то же	13	9
20	что в	12	8
21	своего рода	4	8
22	но и	3	8
23	в себе	2	7
24	том что	11	7
25	во второй	2	7
26	в отличие	2	7
27	в данном	2	7
28	в то	15	7
29	только в	5	7
30	отличие от	2	7
31	место в	3	6
32	с его	11	6
33	же время	12	6
34	в первой	2	6
35	как бы	17	6
36	в русской	5	6
37	но в	7	6
38	однако в	2	5
39	в своем	4	5
40	как и	12	5
41	не в	2	5
42	в самом	3	5
43	в нем	3	5
44	данном случае	2	5
45	как в	8	5
46	он не	8	5
47	уже не	3	5
48	тем самым	7	5
49	в принципе	2	5
50	с другой	3	5
51	не случайно	4	5
52	героя и	2	5
53	личности и	2	4
54	не менее	6	4
55	конечном счете	4	4
56	не столько	2	4
57	личности в	2	4
58	в свою	7	4
59	можно сказать	2	4
60	в конечном	4	4
61	в своей	4	4
62	то что	8	4
63	по преимуществу	2	4
64	в их	3	4
65	приводит к	2	4
66	не может	4	4
67	на смену	2	4
68	сказать что	2	4
69	хотя и	3	4
70	но он	2	4
71	не знает	2	4
72	перед нами	2	3
73	никогда не	3	3
74	в этих	2	3
75	прежде всего	4	3
76	тем не	2	3
77	в соответствии	3	3
78	для него	6	3
79	того что	3	3
80	авторской позиции	3	3
81	с ее	3	3
82	во времени	3	3
83	таким образом	5	3
84	именно в	2	3
85	мира в	2	3
86	и по	3	3
87	или в	2	3
88	самим собой	4	3
89	потому что	5	3
90	в основе	2	3
91	в финале	4	3
92	в этой	5	3
93	человека с	2	3
94	я не	3	2
95	могут быть	2	2
96	жизни в	6	2
97	того же	2	2
98	это не	4	2
99	вовсе не	5	2
100	в литературе	2	2
101	что он	6	2
102	к тому	2	2
103	об этом	2	2
104	и того	2	2
105	и как	4	2
106	соответствии с	3	2
107	в глаза	2	2
108	одной из	4	2
109	вслед за	2	2
110	здесь мы	2	2
111	в виду	2	2
112	к жизни	2	2
113	даже в	3	2
114	времени в	13	2
115	и тем	2	2
116	в целом	4	2
117	вместе с	2	2
118	дело не	3	2
119	но она	2	2
120	русской литературе	4	2
121	как к	2	2
122	в романе	10	2
123	это и	3	2
124	в себя	2	2
125	в году	7	2
126	говорит что	2	2
127	и даже	3	2
128	и притом	2	2
129	во всей	2	2
130	так же	3	2
131	в рассказе	3	2
132	у него	7	2
133	человеческих отношений	3	2
134	как будто	5	2
135	о том	6	2
136	в чем	2	2
137	в которой	3	2
138	на деле	2	2
139	я и	3	2
