N	2gram	Vygotskiy__3	Sovremen
1	не может	6	17
2	точки зрения	6	12
3	может быть	13	12
4	таким образом	17	11
5	мы не	9	9
6	не можем	3	7
7	в этом	14	7
8	и в	25	7
9	и не	10	6
10	как и	15	6
11	в результате	3	6
12	мы можем	7	6
13	прежде всего	4	5
14	все эти	7	5
15	как бы	10	4
16	в развитии	24	4
17	мы видели	6	4
18	если мы	3	4
19	в целом	13	4
20	вместе с	14	4
21	в зависимости	5	4
22	а в	4	4
23	не только	6	4
24	с помощью	42	4
25	в том	23	4
26	их в	3	4
27	из них	4	4
28	мы должны	6	4
29	зависимости от	6	4
30	так как	12	4
31	уже в	7	3
32	самого начала	6	3
33	все же	6	3
34	на этой	5	3
35	видели что	3	3
36	отнюдь не	4	3
37	между собой	13	3
38	все это	6	3
39	отличается от	3	3
40	экспериментальном материале	2	3
41	мы называем	2	3
42	то же	2	3
43	его развития	3	3
44	ясно что	2	3
45	в нем	2	3
46	и к	5	3
47	для нас	2	3
48	с самого	6	3
49	не в	6	3
50	в этой	5	3
51	одна из	2	3
52	еще не	4	3
53	при этом	5	3
54	было бы	10	3
55	и т.д	5	3
56	в одном	2	3
57	и все	4	3
58	как он	3	3
59	в себе	2	3
60	в области	7	3
61	что она	5	3
62	с необходимостью	2	3
63	и потому	2	3
64	не могут	4	2
65	что это	5	2
66	не менее	6	2
67	в виде	3	2
68	значение в	3	2
69	на котором	2	2
70	приводит к	4	2
71	то и	4	2
72	и во	2	2
73	в отличие	6	2
74	из этих	4	2
75	тем же	4	2
76	помощью которых	7	2
77	с одной	5	2
78	ли оно	5	2
79	как мы	8	2
80	уже не	2	2
81	для развития	3	2
82	развития в	2	2
83	в свою	3	2
84	или иной	3	2
85	и что	10	2
86	из которых	5	2
87	на этот	2	2
88	и по	5	2
89	тем не	5	2
90	мы знаем	4	2
91	той же	4	2
92	конечно в	2	2
93	мы видим	3	2
94	в таком	2	2
95	но все	2	2
96	во всяком	4	2
97	свою очередь	2	2
98	на этом	3	2
99	в живом	3	2
100	могут быть	5	2
101	с этим	4	2
102	этой стадии	5	2
103	как известно	3	2
104	что в	17	2
105	с другом	5	2
106	тот же	2	2
107	со всеми	6	2
108	в один	2	2
109	некоторое время	2	2
110	на его	2	2
111	такого рода	2	2
112	в самом	3	2
113	друг с	5	2
114	отличие от	6	2
115	в его	15	2
116	всяком случае	4	2
