N	2gram	Medvedev_F_3	Narrotol
1	не только	9	32
2	может быть	25	25
3	но и	10	23
4	и не	30	20
5	и в	27	19
6	в том	7	18
7	в этом	18	17
8	том что	4	14
9	не в	12	14
10	а не	17	12
11	то что	8	11
12	не может	24	10
13	точки зрения	16	10
14	при этом	8	9
15	со стороны	4	9
16	так и	21	9
17	в его	7	9
18	с другой	6	8
19	героя в	3	8
20	не является	5	8
21	в себе	3	8
22	как и	14	7
23	еще не	6	7
24	к тому	4	7
25	ни для	2	7
26	все же	6	7
27	как в	4	7
28	по отношению	3	7
29	с его	2	6
30	что он	6	6
31	отношению к	3	6
32	то в	2	6
33	но не	5	6
34	в той	3	6
35	как это	4	6
36	на протяжении	2	6
37	о том	4	6
38	но в	6	6
39	и как	4	5
40	отнюдь не	8	5
41	нуждается в	3	5
42	по себе	4	5
43	или иной	2	5
44	можно сказать	3	5
45	уже не	3	5
46	и его	19	5
47	в данном	6	5
48	в основе	3	5
49	в отличие	2	5
50	отличие от	2	5
51	в этой	2	5
52	прежде всего	4	4
53	в нем	15	4
54	то же	15	4
55	да и	4	4
56	же время	7	4
57	было бы	6	4
58	связи с	5	4
59	имеет место	3	4
60	одной из	2	4
61	как бы	8	4
62	о нем	3	4
63	и тем	3	4
64	хотя бы	6	4
65	данном случае	4	4
66	другой стороны	5	4
67	отличается от	2	4
68	те же	3	4
69	сказать что	3	4
70	только в	8	4
71	героя и	2	4
72	здесь не	2	4
73	и с	3	4
74	не менее	7	3
75	жизни в	3	3
76	ни было	5	3
77	же как	3	3
78	что в	8	3
79	могут быть	4	3
80	никогда не	5	3
81	уже в	4	3
82	из этих	2	3
83	тем не	2	3
84	ни в	8	3
85	это и	2	3
86	что они	5	3
87	одна из	2	3
88	в сущности	2	3
89	в ней	5	3
90	и даже	2	3
91	не есть	4	3
92	с ее	2	3
93	бы то	4	3
94	из них	2	3
95	жизни и	4	3
96	в ее	4	3
97	то ни	4	3
98	этом отношении	3	3
99	как мы	8	3
100	сводится к	5	3
101	столь же	3	3
102	то или	2	3
103	высказывания и	5	3
104	и на	3	3
105	между тем	7	3
106	тем что	5	3
107	не о	3	3
108	в то	7	3
109	бы быть	2	3
110	что это	3	3
111	в произведении	3	3
112	дело с	3	2
113	не являются	2	2
114	отвлечении от	2	2
115	или иное	2	2
116	бы не	2	2
117	независимо от	5	2
118	должна быть	3	2
119	между собой	4	2
120	в своем	2	2
121	в какой	3	2
122	оно не	3	2
123	здесь и	6	2
124	от всех	4	2
125	не как	2	2
126	не могло	2	2
127	в литературе	6	2
128	что именно	5	2
129	ту или	2	2
130	между ними	15	2
131	в пределах	8	2
132	она не	4	2
133	в отвлечении	2	2
134	не от	2	2
135	от одного	2	2
136	именно это	2	2
137	к другому	2	2
138	и потому	5	2
139	и др	2	2
140	даже в	2	2
141	нет и	3	2
142	сами по	2	2
143	время в	3	2
144	жизнью и	2	2
145	так же	9	2
146	как раз	8	2
147	к самому	2	2
148	не на	3	2
149	в связи	4	2
150	и только	2	2
151	отношения к	2	2
152	все эти	6	2
153	человека в	2	2
154	совершенно не	7	2
155	они не	4	2
156	самом деле	16	2
157	одним из	3	2
158	и для	6	2
159	с точки	14	2
160	это не	3	2
161	роль в	4	2
162	поскольку оно	2	2
163	в таком	2	2
164	тому как	5	2
165	а иногда	2	2
166	в результате	5	2
167	однако в	2	2
168	одну из	2	2
169	подобно тому	4	2
170	и ее	6	2
171	смысла но	2	2
172	говорить о	2	2
173	без исключения	5	2
174	этого слова	2	2
175	и все	8	2
176	его в	7	2
177	ничего не	2	2
178	к которому	2	2
