N	3gram	Vygotskiy__5	StatiiOP
1	и т д	3	21
2	в том что	14	17
3	о том что	6	11
4	для того чтобы	19	10
5	и т п	3	9
6	можно было бы	3	8
7	с точки зрения	2	8
8	в этом отношении	3	7
9	до сих пор	5	7
10	в данном случае	2	6
11	на самом деле	2	6
12	с другой стороны	5	6
13	в самом деле	5	5
14	не может быть	2	5
15	не только в	2	4
16	на то что	16	4
17	и в самом	2	3
18	так же как	2	3
19	заключается в том	6	3
20	если бы мы	2	2
21	по этому поводу	4	2
22	с одной стороны	12	2
23	в этом случае	2	2
24	и тем же	3	2
25	может быть и	2	2
26	во всех трех	2	2
27	то что в	2	2
28	одним и тем	3	2
29	и то что	3	2
30	вопрос о том	2	2
31	он должен был	2	2
