N	2gram	Tiupa_Anal_3	Vladivir
1	и в	18	31
2	в году	3	30
3	не только	22	24
4	но и	13	19
5	то что	2	18
6	и не	12	17
7	и даже	8	15
8	том что	12	14
9	что в	9	14
10	в этом	14	14
11	что он	4	12
12	по поводу	3	12
13	в его	7	12
14	но в	2	12
15	с его	8	11
16	в том	9	11
17	о том	6	11
18	он не	6	10
19	никогда не	5	9
20	а в	10	9
21	только в	2	9
22	в конце	5	9
23	в дальнейшем	2	8
24	и по	2	8
25	в то	3	8
26	уже в	3	7
27	для него	6	7
28	об этом	2	7
29	как раз	7	7
30	и его	13	7
31	как это	3	7
32	сказать что	2	7
33	еще и	3	7
34	он и	3	6
35	к этому	3	6
36	и к	4	6
37	можно сказать	4	6
38	в качестве	12	6
39	того же	5	6
40	и потому	2	6
41	и сам	4	6
42	может быть	9	6
43	свое время	2	6
44	так и	14	6
45	не может	2	6
46	то же	3	6
47	все это	3	5
48	не в	6	5
49	но как	3	5
50	и от	2	5
51	в свое	2	5
52	а также	2	5
53	что и	5	5
54	когда он	2	5
55	не было	3	5
56	же время	3	4
57	в своем	4	4
58	и все	2	4
59	в нем	2	4
60	в себе	2	4
61	да и	2	4
62	как и	14	4
63	и как	4	4
64	в этой	6	4
65	по своей	2	4
66	такого рода	5	4
67	хотя и	2	4
68	один из	2	4
69	себя в	4	4
70	а а	5	4
71	в особенности	3	4
72	несмотря на	2	4
73	во всем	3	4
74	дело в	2	4
75	в общем	2	3
76	только к	2	3
77	к тому	6	3
78	отнюдь не	4	3
79	со своей	8	3
80	с другой	7	3
81	в жизни	2	3
82	как в	3	3
83	но не	7	3
84	что они	3	3
85	по своему	2	3
86	ничего не	3	3
87	нам представляется	2	3
88	все же	4	3
89	на его	2	3
90	в целом	3	3
91	вместе с	2	3
92	другой стороны	5	3
93	таким образом	4	3
94	все эти	2	3
95	и вот	2	3
96	о которой	2	3
97	не мог	2	3
98	уже не	5	3
99	и он	2	3
100	едва ли	3	3
101	жизнь и	3	3
102	и на	4	3
103	что касается	3	3
104	на себя	2	3
105	и здесь	2	3
106	в начале	6	3
107	здесь не	3	3
108	то есть	10	3
109	в момент	2	2
110	тем что	2	2
111	в ответ	2	2
112	с тем	2	2
113	не менее	4	2
114	в частности	12	2
115	в них	2	2
116	не столько	3	2
117	указывает на	3	2
118	в тех	2	2
119	о его	2	2
120	тем не	2	2
121	тому же	3	2
122	это и	2	2
123	еще не	6	2
124	при этом	11	2
125	было бы	3	2
126	совершенно не	2	2
127	в самом	5	2
128	всяком случае	2	2
129	к жизни	3	2
130	даже в	2	2
131	которого он	2	2
132	и а	4	2
133	дело не	3	2
134	со стороны	9	2
135	что она	2	2
136	как к	2	2
137	и для	2	2
138	лишь в	5	2
139	тем самым	4	2
140	что мы	2	2
141	по его	3	2
142	той же	5	2
143	в результате	5	2
144	пока еще	3	2
145	во всяком	2	2
146	точки зрения	3	2
147	из этих	3	2
148	ответ на	3	2
