N	2gram	Tiupa_Vved_1	Freidism
1	таким образом	4	24
2	и не	12	23
3	не может	7	20
4	прежде всего	7	18
5	в этом	21	15
6	в его	4	15
7	мы можем	2	13
8	может быть	18	13
9	и его	5	12
10	как и	11	11
11	как бы	4	11
12	то что	6	11
13	так и	8	10
14	как мы	3	10
15	самом деле	3	10
16	с ним	3	10
17	но в	6	10
18	и в	13	9
19	во всех	2	9
20	по отношению	7	9
21	все что	3	8
22	отношению к	7	8
23	еще не	7	8
24	в своей	5	8
25	он не	3	8
26	не только	20	8
27	то же	5	8
28	только в	6	8
29	и все	4	8
30	один из	3	7
31	мы видели	2	7
32	отношение к	2	7
33	в самом	2	7
34	что же	3	7
35	те же	2	7
36	и наконец	2	7
37	никогда не	4	6
38	для него	3	6
39	того что	6	6
40	в ней	4	6
41	так сказать	2	6
42	и с	2	6
43	и к	2	5
44	в свою	4	5
45	можно сказать	4	5
46	не в	6	5
47	в то	4	5
48	что такое	18	5
49	что в	3	5
50	но и	19	5
51	на самом	4	5
52	а в	6	5
53	и на	3	5
54	могут быть	4	5
55	не менее	4	4
56	но не	5	4
57	в котором	8	4
58	в этих	3	4
59	из этих	3	4
60	в пределах	2	4
61	в жизни	4	4
62	к тому	6	4
63	об этом	4	4
64	сводится к	4	4
65	же время	3	4
66	при этом	26	4
67	как раз	2	4
68	в основе	3	4
69	в нем	5	4
70	все же	6	4
71	данном случае	6	4
72	это только	2	4
73	не было	2	4
74	уже не	5	4
75	и для	3	4
76	мы не	4	4
77	в данном	13	4
78	потому что	5	4
79	говорить о	2	4
80	о которой	2	3
81	если бы	7	3
82	в них	2	3
83	во втором	2	3
84	и от	2	3
85	в себе	5	3
86	но это	3	3
87	и оно	2	3
88	по своему	2	3
89	по поводу	2	3
90	было бы	4	3
91	жизни и	7	3
92	на него	2	3
93	со стороны	5	3
94	приводит к	2	3
95	как в	4	3
96	свою очередь	4	3
97	и т.п	9	3
98	и по	3	3
99	между двумя	3	3
100	мы имеем	5	3
101	одна из	4	3
102	не является	3	3
103	в сознании	4	3
104	зависит от	2	2
105	быть и	2	2
106	в нашем	6	2
107	между собой	2	2
108	всей его	2	2
109	в какой	4	2
110	с другой	5	2
111	это не	6	2
112	к этому	2	2
113	не можем	2	2
114	тем не	3	2
115	для нас	2	2
116	до конца	3	2
117	том что	7	2
118	высшей степени	2	2
119	не существует	2	2
120	а не	15	2
121	связано с	3	2
122	одной стороны	5	2
123	что мы	2	2
124	в своем	5	2
125	в этот	2	2
126	точка зрения	3	2
127	все они	2	2
128	жизни то	2	2
129	в составе	2	2
130	от этих	2	2
131	а с	2	2
132	этом отношении	4	2
133	с одной	5	2
134	сознания в	3	2
135	в отличие	2	2
136	в высшей	2	2
137	отличие от	2	2
138	их в	2	2
139	в своих	2	2
140	что и	2	2
141	к его	3	2
142	в первом	2	2
143	в области	3	2
