N	2gram	Berdyaev_O_1	StatiiOP
1	и в	19	25
2	в этом	12	24
3	в том	5	20
4	что в	4	19
5	что он	3	19
6	может быть	11	19
7	тем что	2	19
8	том что	2	15
9	в этой	5	14
10	в его	7	12
11	то что	5	12
12	не только	11	12
13	в этих	3	11
14	так что	2	11
15	прежде всего	9	10
16	и не	13	10
17	у него	22	9
18	но и	13	9
19	все это	6	8
20	т е	4	8
21	в своих	3	8
22	о том	3	8
23	это было	3	8
24	это не	3	7
25	было бы	3	7
26	не может	4	7
27	не в	11	6
28	как бы	3	6
29	а в	5	6
30	и на	2	6
31	в русской	3	6
32	в россии	5	6
33	потому что	9	5
34	а не	11	5
35	того что	3	5
36	он не	7	5
37	так и	2	5
38	но в	2	5
39	с тем	2	4
40	как и	6	4
41	и к	2	4
42	к ней	2	4
43	в своей	2	4
44	отношение к	5	4
45	всего в	2	4
46	не было	9	4
47	лишь в	7	4
48	к нему	3	4
49	и для	2	4
50	и с	2	4
51	сказать что	2	4
52	все же	2	4
53	в которой	2	4
54	ничего не	2	4
55	что все	2	3
56	уже в	2	3
57	с его	4	3
58	к этому	2	3
59	он был	8	3
60	для него	5	3
61	до конца	7	3
62	все эти	4	3
63	и его	4	3
64	что для	2	3
65	но он	7	3
66	в другом	2	3
67	так как	2	3
68	в творчестве	5	3
69	должен был	2	2
70	никогда не	9	2
71	что у	2	2
72	и ее	3	2
73	что они	2	2
74	еще не	3	2
75	это за	3	2
76	в самом	5	2
77	которую он	2	2
78	в уста	2	2
79	ее в	2	2
80	о которой	2	2
81	для того	3	2
82	что не	4	2
83	его не	2	2
84	одно из	2	2
85	могут быть	3	2
86	и ни	2	2
87	не имеет	2	2
88	к этой	2	2
