N	2gram	Medvedev_F_1	FransuaR
1	и в	24	29
2	таким образом	13	20
3	и не	20	16
4	и все	6	13
5	в этой	6	13
6	как и	11	12
7	но в	5	12
8	так и	18	11
9	и на	8	11
10	в этом	15	11
11	то же	10	10
12	как мы	5	10
13	в то	9	10
14	не только	7	10
15	вовсе не	10	9
16	но и	7	9
17	все эти	6	9
18	и с	8	9
19	его в	3	9
20	же время	8	8
21	прежде всего	22	8
22	в его	23	8
23	и его	10	8
24	как бы	6	8
25	в них	3	7
26	мы видели	2	7
27	так же	4	7
28	в том	6	7
29	в большинстве	3	6
30	здесь в	2	6
31	это не	2	5
32	это и	3	5
33	до конца	7	5
34	в нем	14	5
35	в своей	11	5
36	и до	5	5
37	большинстве случаев	2	5
38	с его	4	4
39	в нашем	2	4
40	в литературе	5	4
41	что он	3	4
42	но это	3	4
43	еще не	6	4
44	и др	5	4
45	один из	3	4
46	то что	8	4
47	жизни и	7	4
48	конечно не	4	4
49	все это	9	4
50	этот образ	2	4
51	на самом	7	4
52	с помощью	3	4
53	с другой	5	4
54	жизнь и	3	4
55	в результате	2	4
56	точки зрения	16	4
57	в которой	4	4
58	все время	2	3
59	всех этих	3	3
60	они были	2	3
61	в частности	4	3
62	в своем	11	3
63	с начала	2	3
64	с ее	7	3
65	и здесь	6	3
66	в ее	8	3
67	все же	3	3
68	и как	3	3
69	более или	6	3
70	того что	5	3
71	и их	10	3
72	он не	3	3
73	начала и	2	3
74	здесь не	3	3
75	или менее	6	3
76	как к	3	3
77	при этом	5	3
78	и других	3	3
79	на языке	2	3
80	в году	2	3
81	и вот	2	3
82	у них	3	3
83	и даже	3	3
84	особенно в	3	3
85	в ней	10	3
86	в себе	3	3
87	в эту	2	3
88	место в	7	2
89	связи с	3	2
90	в другой	2	2
91	жизни в	2	2
92	форм и	6	2
93	формы и	5	2
94	в жизни	3	2
95	и со	2	2
96	в различных	2	2
97	а как	2	2
98	о мире	2	2
99	к тому	3	2
100	и к	4	2
101	одной из	2	2
102	все в	2	2
103	ни в	2	2
104	именно в	8	2
105	мы увидим	4	2
106	но не	3	2
107	одной стороны	4	2
108	не может	16	2
109	большое место	2	2
110	на его	2	2
111	может быть	14	2
112	никогда не	4	2
113	уже не	2	2
114	со стороны	5	2
115	его и	2	2
116	как в	8	2
117	в их	11	2
118	как раз	2	2
119	не на	2	2
120	в особенности	3	2
121	с одной	4	2
122	они не	3	2
123	от всех	3	2
124	на их	2	2
125	и наконец	3	2
126	с точки	13	2
127	между ними	3	2
128	друг друга	4	2
129	как на	4	2
130	в своих	2	2
131	в основе	3	2
132	даже и	2	2
133	только в	2	2
134	если же	2	2
135	и это	2	2
136	так сказать	3	2
137	с ним	2	2
138	учения о	2	2
139	к которому	2	2
