N	3gram	Vinokur_St_2	Myshleni
1	для того чтобы	5	14
2	в том что	16	11
3	с точки зрения	2	9
4	так же как	3	7
5	с самого начала	3	5
6	в этом отношении	9	5
7	в другом месте	2	4
8	о том что	11	4
9	мере в какой	2	3
10	до сих пор	5	3
11	не только не	2	3
12	в той мере	2	3
13	той мере в	2	3
14	вопрос о том	3	3
15	не до конца	2	2
16	в отличие от	2	2
17	том что он	5	2
18	в самом деле	2	2
19	том что в	2	2
20	что он не	4	2
21	с другой стороны	3	2
22	до того как	3	2
23	вместе с тем	5	2
24	то обстоятельство что	4	2
25	то что он	2	2
26	но все же	2	2
