N	2gram	Tiupa_Disk_2	Tragedij
1	и в	16	18
2	в этом	16	9
3	не только	10	8
4	и не	15	7
5	и на	5	7
6	и с	2	7
7	может быть	16	7
8	как бы	4	7
9	что он	2	6
10	и его	3	6
11	же время	5	6
12	ивана петровича	2	6
13	но в	11	6
14	все же	6	5
15	к жизни	3	5
16	так и	9	5
17	это не	3	5
18	не может	9	5
19	то же	6	5
20	как и	16	5
21	в то	5	5
22	но и	11	4
23	то что	5	4
24	в целом	2	4
25	что в	5	4
26	все это	2	4
27	прежде всего	7	4
28	и все	3	4
29	в нем	7	4
30	том что	10	4
31	но это	3	4
32	в этой	4	4
33	в себе	19	4
34	еще не	6	4
35	с ее	2	3
36	о чем	2	3
37	отнюдь не	6	3
38	в своем	5	3
39	романа и	2	3
40	как в	8	3
41	все эти	3	3
42	тем самым	6	3
43	и как	3	3
44	должно быть	2	3
45	в его	3	3
46	для него	5	3
47	при этом	17	3
48	своего рода	10	3
49	как будто	3	3
50	в мире	11	3
51	то есть	12	3
52	еще в	3	2
53	перед нами	3	2
54	что и	2	2
55	в частности	12	2
56	в отличие	12	2
57	данном случае	6	2
58	но при	2	2
59	уже не	3	2
60	с его	6	2
61	отношение к	2	2
62	столь же	3	2
63	времени в	4	2
64	в ходе	2	2
65	ни в	7	2
66	в том	8	2
67	отличие от	12	2
68	не в	3	2
69	тут же	2	2
70	в данном	7	2
71	и то	4	2
72	в рассказе	4	2
73	в записках	2	2
74	потому что	4	2
75	и ее	3	2
76	было в	3	2
77	жизнью и	2	2
78	по словам	2	2
79	о том	4	2
80	его в	3	2
81	и это	2	2
82	он не	3	2
83	в одном	4	2
84	никогда не	2	2
85	одном из	3	2
