N	2gram	Tiupa_Lite_2	Istorich
1	и в	19	22
2	в этом	9	17
3	и т	2	16
4	что в	4	15
5	не только	8	14
6	но и	10	12
7	и не	11	12
8	может быть	17	11
9	еще не	2	10
10	но в	2	10
11	что он	3	9
12	в нем	3	9
13	что и	2	9
14	вместе с	5	9
15	в том	10	9
16	том что	7	8
17	другой стороны	4	7
18	с другой	8	7
19	но не	5	7
20	то что	7	7
21	из них	2	7
22	уже не	2	7
23	так как	3	7
24	в них	2	6
25	все еще	2	6
26	не вполне	2	6
27	то и	3	6
28	а в	3	6
29	то же	12	6
30	а не	20	6
31	друг друга	2	6
32	так в	5	6
33	ничего не	3	6
34	не менее	6	5
35	в частности	4	5
36	тем не	2	5
37	так что	4	5
38	один из	4	5
39	все же	2	5
40	этом случае	2	5
41	он не	5	5
42	того что	5	5
43	могут быть	2	5
44	в этой	3	5
45	как это	2	4
46	у нас	5	4
47	не в	4	4
48	на этом	2	4
49	одним из	3	4
50	для нас	2	4
51	а именно	3	4
52	и его	3	4
53	и на	6	4
54	в данном	3	4
55	не может	9	4
56	тем что	4	4
57	что ты	2	4
58	и с	3	4
59	я не	5	3
60	состоит в	9	3
61	о себе	3	3
62	прежде всего	4	3
63	и к	2	3
64	а затем	2	3
65	как и	10	3
66	и как	3	3
67	но это	3	3
68	представляет собой	2	3
69	все что	2	3
70	у него	2	3
71	было бы	2	3
72	в его	4	3
73	никогда не	3	3
74	в целом	2	3
75	данном случае	3	3
76	со стороны	3	3
77	все равно	2	3
78	а если	2	3
79	потому что	2	3
80	он и	2	3
81	в русской	4	3
82	о том	2	3
83	одном из	2	3
84	не было	2	2
85	с тем	2	2
86	и др	3	2
87	с тобой	5	2
88	что было	2	2
89	но тем	4	2
90	в одном	2	2
91	в жизни	2	2
92	вовсе не	2	2
93	не исключают	2	2
94	же в	2	2
95	я тебя	2	2
96	такой же	3	2
97	одна из	5	2
98	с одной	7	2
99	при этом	6	2
100	в качестве	5	2
101	на себя	2	2
102	одной стороны	6	2
103	себе и	3	2
104	же как	2	2
105	в ней	4	2
106	и он	3	2
107	даже в	4	2
108	к жизни	2	2
109	не с	3	2
110	говорит я	2	2
111	отношению к	3	2
112	жизни и	4	2
113	так и	7	2
114	по отношению	4	2
115	не раз	2	2
116	той же	2	2
117	из того	2	2
118	и что	2	2
119	он на	2	2
120	что не	2	2
121	и даже	8	2
122	и для	3	2
123	не видит	2	2
124	и то	3	2
125	в русском	2	2
126	точки зрения	4	2
127	в другом	3	2
128	в то	9	2
129	ту же	2	2
130	как правило	3	2
131	и вновь	2	2
132	а также	2	2
133	в него	2	2
