N	3gram	Losev_Prob_1	EvropaiC
1	в том что	5	16
2	до сих пор	3	12
3	с точки зрения	3	8
4	более или менее	3	7
5	на то что	8	7
6	на самом деле	4	7
7	мы говорили выше	2	6
8	для того чтобы	8	6
9	в самом деле	2	5
10	не может быть	2	4
11	в этой области	2	4
12	о том что	5	4
13	о которых мы	2	4
14	может быть и	3	4
15	тем не менее	18	4
16	в конце концов	4	4
17	с другой стороны	3	4
18	в этом случае	2	4
19	и того же	2	3
20	в данном случае	8	3
21	так же как	2	3
22	одного и того	2	3
23	в связи с	4	3
24	в настоящее время	3	3
25	и то что	2	3
26	так или иначе	2	3
27	в то же	4	2
28	во всех этих	2	2
29	что же касается	3	2
30	так и для	2	2
31	только то что	4	2
32	во всяком случае	3	2
33	ничего общего с	7	2
