N	3gram	Vinokur_St_1	Formalny
1	с точки зрения	8	14
2	не может быть	5	14
3	на самом деле	6	12
4	то же время	4	7
5	в то же	4	7
6	и т д	21	6
7	во всяком случае	6	6
8	и т п	9	5
9	с другой стороны	6	5
10	в данном случае	6	4
11	в самом деле	5	4
12	для того чтобы	10	4
13	в этом отношении	7	3
14	в том что	17	3
15	по отношению к	3	3
16	т п в	3	2
17	т е с	3	2
18	то или иное	3	2
19	дело в том	4	2
20	так и в	4	2
21	всяком случае в	2	2
22	вовсе не в	2	2
23	тем не менее	2	2
24	и тем же	2	2
25	дело не в	2	2
26	одним и тем	2	2
27	и в данном	2	2
