N	2gram	Medvedev_F_1	FransuaR
1	и в	24	40
2	и его	10	17
3	прежде всего	22	16
4	в этом	15	15
5	не только	7	13
6	и не	20	13
7	в его	23	13
8	что в	4	12
9	вовсе не	10	12
10	как и	11	11
11	но и	7	11
12	таким образом	13	10
13	как мы	5	10
14	в них	3	9
15	и все	6	9
16	может быть	14	9
17	он не	3	9
18	отношение к	3	8
19	в том	6	8
20	и до	5	8
21	все эти	6	8
22	и с	8	8
23	и на	8	8
24	но в	5	8
25	в своем	11	7
26	в одном	2	7
27	этот образ	2	7
28	и др	5	7
29	то же	10	7
30	культуры и	3	7
31	же время	8	6
32	в самом	5	6
33	во всех	5	6
34	в своей	11	6
35	и других	3	6
36	связи с	3	6
37	в то	9	6
38	до конца	7	6
39	в литературе	5	5
40	в году	2	5
41	со всеми	3	5
42	как раз	2	5
43	в нем	14	5
44	то что	8	5
45	начала и	2	5
46	в связи	4	5
47	не было	3	5
48	а не	10	5
49	в основе	3	5
50	в своих	2	5
51	так сказать	3	5
52	в особенности	3	5
53	для него	3	5
54	и глубже	2	4
55	с начала	2	4
56	в нашем	2	4
57	у нас	5	4
58	здесь в	2	4
59	до сих	6	4
60	было бы	6	4
61	в ней	10	4
62	в основном	3	4
63	и потому	9	4
64	ни в	2	4
65	один из	3	4
66	в мире	4	4
67	жизни и	7	4
68	сих пор	6	4
69	в их	11	4
70	все это	9	4
71	только на	5	4
72	особенно в	3	4
73	и даже	3	4
74	и здесь	6	4
75	в истории	4	4
76	в области	3	4
77	в эту	2	4
78	с его	4	3
79	всех этих	3	3
80	они были	2	3
81	если бы	4	3
82	в частности	4	3
83	и от	7	3
84	и к	4	3
85	в ее	8	3
86	мы видели	2	3
87	но это	3	3
88	в этой	6	3
89	для этого	4	3
90	одна из	2	3
91	еще не	6	3
92	как бы	6	3
93	со всею	5	3
94	еще в	2	3
95	и наконец	3	3
96	что и	2	3
97	вместе с	2	3
98	так и	18	3
99	как в	8	3
100	во всей	2	3
101	по отношению	4	3
102	не может	16	3
103	а в	6	3
104	на самом	7	3
105	самом деле	6	3
106	ко всем	2	3
107	между ними	3	3
108	к этой	4	3
109	и как	3	3
110	не так	2	3
111	для этой	2	3
112	но все	2	3
113	между тем	2	3
114	при этом	5	3
115	они не	3	3
116	в себе	3	3
117	во всем	2	3
118	только в	2	3
119	но ведь	2	3
120	здесь не	3	3
121	не менее	11	2
122	своей книге	2	2
123	на их	2	2
124	хотя бы	5	2
125	с другой	5	2
126	это не	2	2
127	и форм	2	2
128	что было	2	2
129	что он	3	2
130	и вот	2	2
131	о мире	2	2
132	влияние на	3	2
133	нельзя понять	3	2
134	все же	3	2
135	следовательно и	2	2
136	это и	3	2
137	но не	3	2
138	мы увидим	4	2
139	конечно не	4	2
140	из важнейших	2	2
141	и если	2	2
142	на его	2	2
143	думать что	3	2
144	отношению к	4	2
145	в целом	6	2
146	всем этим	2	2
147	или же	3	2
148	именно в	8	2
149	не боится	3	2
150	с помощью	3	2
151	из этой	2	2
152	лишь в	8	2
153	в системе	2	2
154	должны быть	5	2
155	эпохи и	2	2
156	со всем	3	2
157	на основе	6	2
158	одной из	2	2
159	говорит он	3	2
160	он в	2	2
161	с этим	2	2
162	даже и	2	2
163	точки зрения	16	2
164	к новому	2	2
165	и ее	10	2
166	этого слова	3	2
167	и это	2	2
168	в которой	4	2
169	мы не	3	2
170	как о	4	2
