N	2gram	Tiupa_Anal_3	formyVre
1	и в	18	46
2	в этом	14	22
3	прежде всего	5	14
4	в романе	2	13
5	и его	13	12
6	только в	2	11
7	не только	22	11
8	во всех	2	11
9	в том	9	10
10	как бы	10	10
11	точки зрения	3	10
12	то есть	10	10
13	но в	2	10
14	не в	6	9
15	мира и	2	9
16	вместе с	2	9
17	но и	13	9
18	и не	12	9
19	и для	2	9
20	как и	14	8
21	в его	7	8
22	то же	3	8
23	с точки	2	8
24	в них	2	7
25	в одном	4	7
26	может быть	9	7
27	то что	2	7
28	так и	14	7
29	и на	4	7
30	так сказать	2	7
31	никогда не	5	6
32	и все	2	6
33	при этом	11	6
34	еще не	6	6
35	его в	3	6
36	все же	4	6
37	все это	3	6
38	в особенности	3	6
39	те же	2	6
40	в частности	12	5
41	в своем	4	5
42	с этим	3	5
43	в дальнейшем	2	5
44	в пределах	4	5
45	в то	3	5
46	но не	7	5
47	он не	6	5
48	в нем	2	5
49	что в	9	5
50	все эти	2	5
51	уже в	3	4
52	отнюдь не	4	4
53	из этих	3	4
54	же время	3	4
55	же в	2	4
56	том что	12	4
57	что они	3	4
58	в мире	5	4
59	как в	3	4
60	отношения к	2	4
61	а не	9	4
62	и он	2	4
63	в себе	2	4
64	о том	6	4
65	не было	3	3
66	о чем	4	3
67	все они	2	3
68	не является	5	3
69	того же	5	3
70	к этому	3	3
71	как уже	2	3
72	к тому	6	3
73	что он	4	3
74	и как	4	3
75	в борьбе	2	3
76	в качестве	12	3
77	в большинстве	2	3
78	для него	6	3
79	себе самому	2	3
80	хотя и	2	3
81	а также	2	3
82	что и	5	3
83	в форме	2	3
84	таким образом	4	3
85	в их	6	3
86	уже не	5	3
87	и даже	8	3
88	и по	2	3
89	и прежде	2	3
90	а в	10	3
91	роль в	3	3
92	жизнь и	3	3
93	тем что	2	3
94	этом ряду	2	2
95	по своему	2	2
96	говорить о	3	2
97	с другой	7	2
98	это не	2	2
99	по себе	4	2
100	или иной	5	2
101	можно сказать	4	2
102	картина мира	4	2
103	о его	2	2
104	не мог	2	2
105	именно в	3	2
106	в этой	6	2
107	с тем	2	2
108	было бы	3	2
109	со всеми	2	2
110	картины мира	4	2
111	и к	4	2
112	картине мира	2	2
113	в сущности	5	2
114	ни для	2	2
115	вплоть до	2	2
116	и потому	2	2
117	если в	3	2
118	один из	2	2
119	принадлежит к	4	2
120	и т.п	5	2
121	не может	2	2
122	здесь не	3	2
123	в литературу	2	2
124	этом отношении	3	2
125	с одной	2	2
126	не для	2	2
127	в себя	2	2
128	и вот	2	2
129	в той	2	2
130	лишь в	5	2
131	в иной	2	2
132	о смерти	3	2
133	в данном	4	2
134	то в	2	2
135	и от	2	2
136	мы имеем	5	2
137	могут быть	2	2
138	не могла	2	2
139	далеко не	4	2
140	в конце	5	2
141	там где	2	2
142	как это	3	2
143	во всяком	2	2
