N	2gram	Savitsky_P_1	slovoVRo
1	и в	14	41
2	в нем	3	30
3	и т	3	28
4	могут быть	3	19
5	во всех	2	17
6	но и	6	16
7	и не	12	16
8	точки зрения	3	16
9	не только	17	16
10	а не	2	15
11	то же	9	14
12	в пределах	8	14
13	может быть	5	14
14	не может	4	14
15	в то	7	14
16	в его	2	13
17	же время	7	12
18	как бы	4	12
19	в этом	10	12
20	прежде всего	3	8
21	но в	9	8
22	с точки	3	8
23	не в	5	7
24	в отношении	10	6
25	это не	3	6
26	а в	4	6
27	в них	2	6
28	только в	7	6
29	отношении к	5	6
30	с другой	5	5
31	все это	2	5
32	точек зрения	2	5
33	и к	4	5
34	еще более	2	5
35	одной стороны	3	4
36	в ней	6	4
37	с одной	3	4
38	и с	2	4
39	в смысле	6	4
40	и потому	4	4
41	хотя бы	8	3
42	в том	9	3
43	из них	2	3
44	в своем	4	3
45	именно в	2	3
46	и других	2	3
47	того что	2	3
48	с ними	3	3
49	не было	2	3
50	с этим	2	3
51	бы ни	2	3
52	в себе	3	3
53	в качестве	9	3
54	было бы	6	3
55	в частности	2	2
56	столь же	3	2
57	для нас	2	2
58	например в	2	2
59	для того	3	2
60	хотя и	3	2
61	и тем	2	2
62	друг другу	2	2
63	должно быть	2	2
64	потому что	3	2
65	в сочетании	2	2
66	именно как	2	2
67	между тем	3	2
68	в котором	4	2
69	для них	2	2
70	том что	4	2
71	одна из	2	2
72	но не	3	2
73	и о	5	2
74	а также	4	2
75	в ее	2	2
76	в последние	2	2
77	как раз	2	2
78	мы не	3	2
79	в виде	2	2
80	света в	2	2
81	в эту	2	2
