N	2gram	Vinokur_St_1	Formalny
1	т е	15	32
2	и не	16	30
3	вовсе не	19	28
4	и в	44	27
5	может быть	15	25
6	не может	8	24
7	так и	9	21
8	и его	8	19
9	таким образом	7	18
10	в этом	21	18
11	а не	16	17
12	точки зрения	11	16
13	самом деле	11	16
14	в нем	5	15
15	то же	5	15
16	на самом	6	14
17	как и	9	14
18	с точки	8	14
19	не в	12	12
20	если бы	9	12
21	в самом	7	11
22	и т	30	11
23	но и	10	10
24	лишь в	3	9
25	так как	5	9
26	не только	18	9
27	так же	5	9
28	что в	30	8
29	ни в	3	8
30	при этом	2	8
31	как бы	4	8
32	и все	2	8
33	то что	18	8
34	как раз	4	8
35	только в	10	8
36	не менее	5	7
37	в том	36	7
38	же время	4	7
39	все это	5	7
40	потому что	6	7
41	в то	9	7
42	его в	2	7
43	между тем	3	7
44	совершенно не	5	7
45	в его	9	7
46	тем же	3	7
47	там где	5	7
48	истории литературы	2	6
49	с другой	9	6
50	всяком случае	6	6
51	т д	21	6
52	все эти	5	6
53	в своих	2	6
54	но в	10	6
55	произведения в	2	6
56	что он	10	6
57	еще не	3	6
58	было бы	17	6
59	все же	8	6
60	в своей	6	6
61	хотя бы	6	6
62	и для	3	6
63	в данном	14	6
64	во всяком	6	6
65	никогда не	5	5
66	в каждом	3	5
67	что они	7	5
68	совсем не	2	5
69	того чтобы	11	5
70	не является	3	5
71	и их	2	5
72	другой стороны	7	5
73	в ней	3	5
74	в результате	3	5
75	в истории	3	5
76	но не	3	5
77	и потому	2	5
78	что же	6	5
79	т п	9	5
80	тем что	5	5
81	уже в	2	4
82	прежде всего	7	4
83	он был	3	4
84	да и	3	4
85	для того	10	4
86	же и	4	4
87	в целом	5	4
88	жизни и	5	4
89	данном случае	6	4
90	со стороны	6	4
91	и те	2	4
92	но ведь	8	4
93	о том	17	4
94	как это	4	4
95	в ее	4	4
96	том что	29	4
97	она не	2	4
98	конечно не	2	4
99	как в	13	4
100	в слове	5	4
101	мы не	2	4
102	могут быть	5	4
103	же как	3	3
104	бы и	4	3
105	что это	4	3
106	никаких оснований	2	3
107	в этих	2	3
108	материала и	2	3
109	тому что	3	3
110	в какой	3	3
111	столь же	4	3
112	это не	8	3
113	в конце	3	3
114	для нас	7	3
115	должна быть	3	3
116	того что	9	3
117	и тем	3	3
118	в эпоху	2	3
119	по отношению	3	3
120	той же	5	3
121	этом отношении	7	3
122	и что	4	3
123	в которых	5	3
124	их в	2	3
125	сказать что	7	3
126	и с	3	3
127	в основе	3	3
128	и более	2	3
129	ясно что	10	3
130	у нас	11	3
131	литературы и	2	3
132	того же	3	3
133	во всех	8	3
134	отношению к	3	3
135	дело с	2	3
136	в той	6	3
137	случае в	4	3
138	в себе	2	3
139	или иное	3	2
140	в основу	4	2
141	в сторону	2	2
142	а на	3	2
143	одним и	2	2
144	для этого	2	2
145	в отношении	9	2
146	вообще не	2	2
147	была бы	5	2
148	п в	3	2
149	всех этих	2	2
150	но это	6	2
151	такой же	5	2
152	в этой	11	2
153	является не	4	2
154	как о	2	2
155	история литературы	2	2
156	совпадает с	2	2
157	но для	2	2
158	и очень	4	2
159	но если	4	2
160	не являются	3	2
161	в котором	5	2
162	е с	3	2
163	об эволюции	2	2
164	из них	8	2
165	дело не	4	2
166	что она	4	2
167	допустим что	2	2
168	конечно это	2	2
169	в своем	2	2
170	и только	3	2
171	отношения к	2	2
172	ведь если	2	2
173	и даже	5	2
174	научной работы	4	2
175	а иногда	2	2
176	из этих	6	2
177	в россии	4	2
178	к которому	4	2
179	том как	4	2
180	что ни	2	2
181	нисколько не	2	2
182	смысле этого	2	2
183	поэтому в	3	2
184	превращается в	2	2
185	и во	2	2
186	в такой	2	2
187	нет никаких	2	2
188	говорить о	2	2
189	то в	3	2
190	и тогда	2	2
191	говорит в	2	2
192	эпохи в	3	2
193	кажется что	3	2
194	в данной	2	2
195	в сущности	2	2
196	за пределы	2	2
197	ни с	3	2
198	не значит	3	2
199	этого слова	2	2
200	даже в	3	2
201	должен быть	3	2
202	что и	6	2
203	тем не	2	2
204	и речи	2	2
205	вытекает из	2	2
206	бы не	2	2
207	это и	4	2
208	то или	3	2
209	в таком	3	2
210	что этот	2	2
211	это можно	3	2
212	от этого	2	2
213	в каком	3	2
214	и это	2	2
215	дело в	6	2
216	без всякой	3	2
217	в области	14	2
218	ничего не	2	2
