N	2gram	Bakhtin_fo_1	Vladivir
1	и в	50	40
2	то что	6	28
3	и не	14	25
4	не только	9	25
5	то есть	33	24
6	у него	6	24
7	но и	8	18
8	в том	9	18
9	том что	4	18
10	еще и	2	18
11	что в	5	17
12	также и	2	17
13	в этом	25	16
14	в его	13	14
15	не может	6	14
16	точки зрения	5	13
17	вовсе не	13	13
18	только в	4	13
19	сказать что	3	12
20	в конце	9	12
21	никогда не	2	11
22	таким образом	11	11
23	потому что	4	11
24	прежде всего	15	10
25	ни в	8	10
26	и потому	3	10
27	как раз	13	10
28	и его	16	10
29	уже не	2	9
30	есть только	2	9
31	и с	4	9
32	и то	4	9
33	в своей	2	9
34	в себе	3	9
35	в своем	4	8
36	для него	2	8
37	может быть	11	8
38	так же	6	8
39	раз и	2	8
40	он не	5	8
41	а также	2	8
42	как мы	14	8
43	а не	3	8
44	что все	2	7
45	к тому	3	7
46	а только	2	7
47	и как	10	7
48	хотя и	3	7
49	а в	3	7
50	так как	6	7
51	с тем	3	7
52	того что	2	7
53	в то	9	7
54	что и	3	7
55	вместе с	3	7
56	как и	8	7
57	да и	3	6
58	смысле слова	2	6
59	кроме того	4	6
60	и даже	2	6
61	и на	8	6
62	по себе	2	6
63	об этом	2	6
64	во всем	2	6
65	так и	12	6
66	хотя бы	2	6
67	с точки	2	6
68	и это	4	6
69	с другой	2	5
70	для нас	2	5
71	тому же	2	5
72	совсем не	2	5
73	отношения к	3	5
74	в отношении	3	5
75	не было	7	5
76	все эти	9	5
77	только и	5	5
78	в ней	4	5
79	в истории	2	5
80	отнюдь не	5	5
81	в одном	3	5
82	мы уже	11	5
83	для себя	7	5
84	только на	3	5
85	в данном	2	5
86	тем что	2	5
87	дело в	2	5
88	ничего не	9	5
89	вопрос о	2	4
90	в дальнейшем	6	4
91	в глаза	2	4
92	до конца	4	4
93	в самом	8	4
94	в котором	4	4
95	не имеет	4	4
96	в результате	6	4
97	мы должны	2	4
98	и все	6	4
99	по существу	12	4
100	чем в	2	4
101	но не	5	4
102	то время	4	4
103	здесь в	2	4
104	еще не	5	4
105	было бы	2	4
106	в основном	5	4
107	то же	11	4
108	в течение	2	4
109	если мы	2	4
110	в каком	2	4
111	все же	6	4
112	но в	10	4
113	или как	4	4
114	уже в	2	3
115	же как	2	3
116	в качестве	3	3
117	это не	6	3
118	само собой	2	3
119	человека и	11	3
120	но все	5	3
121	одной стороны	2	3
122	при этом	3	3
123	процесс в	2	3
124	смысле но	2	3
125	но для	2	3
126	как бы	2	3
127	в виду	3	3
128	был бы	3	3
129	в нем	24	3
130	ни с	2	3
131	в связи	5	3
132	с одной	3	3
133	именно в	3	3
134	самого человека	3	3
135	или не	2	3
136	все то	2	3
137	если бы	5	3
138	же в	3	3
139	с их	2	3
140	вполне понятно	4	3
141	оно не	2	3
142	ее в	2	3
143	даже не	2	3
144	в отличие	2	3
145	всякого рода	2	3
146	разного рода	2	3
147	того чтобы	5	3
148	и у	5	3
149	и эта	2	3
150	не в	5	3
151	и для	4	3
152	в таком	3	3
153	жизнь и	4	3
154	во всяком	3	3
155	и вообще	2	3
156	далеко не	2	3
157	здесь не	4	3
158	в чем	2	3
159	отличие от	2	3
160	не могут	3	2
161	мы будем	2	2
162	но на	4	2
163	ни к	3	2
164	в нашем	2	2
165	в этих	3	2
166	были в	2	2
167	к своему	2	2
168	мы и	4	2
169	же время	9	2
170	не имеют	3	2
171	не о	2	2
172	же и	2	2
173	той или	2	2
174	себе и	3	2
175	не является	2	2
176	здесь нет	3	2
177	в целом	2	2
178	могло быть	4	2
179	в их	6	2
180	в разных	5	2
181	можно только	2	2
182	мы находим	2	2
183	в одно	3	2
184	и по	2	2
185	друг друга	3	2
186	время как	5	2
187	этом отношении	3	2
188	это время	7	2
189	и еще	2	2
190	в начале	3	2
191	что мы	2	2
192	его в	3	2
193	нет ничего	4	2
194	сколько угодно	2	2
195	во многом	2	2
196	с его	9	2
197	здесь и	2	2
198	не как	2	2
199	с этим	6	2
200	в жизни	6	2
201	к этому	3	2
202	стороны и	2	2
203	есть не	3	2
204	и к	2	2
205	того же	8	2
206	не к	2	2
207	одно и	3	2
208	в это	2	2
209	одной из	3	2
210	совершенно не	2	2
211	наряду с	5	2
212	в сущности	3	2
213	по преимуществу	3	2
214	но оно	2	2
215	в этот	2	2
216	только к	3	2
217	на почве	2	2
218	быть и	2	2
219	и речи	5	2
220	оказывается что	2	2
221	для того	5	2
222	роль в	9	2
223	мы не	3	2
224	собой разумеется	2	2
225	если они	2	2
226	от этого	2	2
227	на себя	2	2
228	связи с	6	2
229	в которой	2	2
