N	2gram	Losev_Prob_4	Literetu
1	не только	24	24
2	при этом	6	19
3	в качестве	10	17
4	но и	14	17
5	а не	7	16
6	в том	20	16
7	в частности	2	15
8	том что	12	14
9	может быть	9	13
10	и не	28	12
11	в этом	9	12
12	прежде всего	11	11
13	в своем	3	11
14	такого рода	7	10
15	то что	15	10
16	не в	13	8
17	и в	20	8
18	только в	23	8
19	как это	3	8
20	не менее	10	7
21	в его	3	7
22	как бы	4	7
23	уже не	5	7
24	в себе	12	7
25	в жизни	3	6
26	как и	6	6
27	связи с	3	6
28	себя в	2	6
29	точки зрения	14	6
30	xix века	2	6
31	то есть	27	6
32	с его	2	5
33	казалось бы	3	5
34	что он	8	5
35	же в	4	5
36	а также	6	5
37	для себя	2	5
38	как в	5	5
39	не может	5	5
40	то же	7	5
41	уже в	4	5
42	тем самым	4	5
43	в данном	6	5
44	в то	4	5
45	в стихотворении	2	4
46	перестает быть	2	4
47	для этого	2	4
48	столь же	2	4
49	это не	7	4
50	о себе	3	4
51	в конце	2	4
52	но не	5	4
53	еще не	7	4
54	и тем	7	4
55	все же	2	4
56	из них	3	4
57	в художественном	4	4
58	по преимуществу	2	4
59	в своей	4	4
60	данном случае	5	4
61	так и	10	4
62	в связи	3	4
63	друг друга	2	4
64	и его	10	4
65	как раз	4	4
66	в этой	4	4
67	с собой	3	4
68	не было	3	3
69	что в	3	3
70	и есть	4	3
71	с другой	7	3
72	да и	5	3
73	что его	4	3
74	в пределах	2	3
75	и прежде	2	3
76	в самом	2	3
77	несмотря на	4	3
78	же и	3	3
79	жизни и	5	3
80	а в	4	3
81	таким образом	8	3
82	еще и	3	3
83	и даже	9	3
84	потому что	15	3
85	во всяком	8	3
86	но в	8	3
87	произведения искусства	2	3
88	также и	13	3
89	далеко не	2	3
90	его в	2	3
91	дело в	2	3
92	в области	3	3
93	в виду	6	3
94	этого не	2	2
95	для них	2	2
96	это уже	3	2
97	по этому	2	2
98	отнюдь не	10	2
99	однако в	2	2
100	у достоевского	4	2
101	все они	3	2
102	дело не	3	2
103	и весьма	2	2
104	к тому	3	2
105	а только	6	2
106	от всякой	2	2
107	тем не	10	2
108	тому же	2	2
109	в другом	3	2
110	или иной	13	2
111	того же	2	2
112	для него	3	2
113	было бы	14	2
114	общего с	2	2
115	за пределы	2	2
116	вплоть до	3	2
117	относится к	2	2
118	и является	3	2
119	всяком случае	4	2
120	не является	10	2
121	говоря уже	2	2
122	в нем	5	2
123	то это	3	2
124	не есть	12	2
125	если оно	2	2
126	не к	2	2
127	то он	2	2
128	только на	2	2
129	не говоря	3	2
130	то и	5	2
131	и только	4	2
132	все эти	16	2
133	не сам	2	2
134	чтобы не	2	2
135	самом деле	3	2
136	что не	4	2
137	хотя бы	7	2
138	и вполне	5	2
139	с точки	11	2
140	можно было	4	2
141	и то	2	2
142	тем более	4	2
143	тем что	3	2
144	себе в	3	2
145	как будто	11	2
146	о том	5	2
147	нет ничего	3	2
148	здесь как	4	2
149	которая не	3	2
150	в сознании	3	2
