N	2gram	Kanaev_Sov_1	Problema
1	в его	2	43
2	и не	6	42
3	и в	7	38
4	не может	17	27
5	может быть	12	26
6	как бы	4	22
7	отнюдь не	3	19
8	в нем	3	15
9	в этом	7	15
10	прежде всего	5	13
11	в области	3	11
12	таким образом	11	10
13	не только	4	9
14	в том	4	8
15	точки зрения	12	8
16	было бы	3	8
17	что в	2	7
18	с помощью	4	7
19	не в	3	7
20	в самом	2	7
21	как и	6	7
22	еще не	3	7
23	совершенно не	2	7
24	как мы	2	7
25	и наконец	5	6
26	а в	4	6
27	все же	3	6
28	самом деле	2	6
29	с точки	5	6
30	мы можем	6	6
31	ничего не	6	6
32	то же	3	5
33	это не	4	5
34	при этом	3	5
35	все эти	5	5
36	может иметь	2	5
37	в отличие	2	5
38	а не	3	5
39	могут быть	2	5
40	отличие от	2	5
41	не менее	2	4
42	в нашем	2	4
43	принципиально не	2	4
44	о значении	2	4
45	и потому	3	4
46	но в	3	4
47	в себе	3	4
48	представлять себе	2	4
49	то ни	2	3
50	тем не	2	3
51	в дальнейшем	4	3
52	ли мы	3	3
53	в целом	4	3
54	все это	3	3
55	с одной	2	3
56	и даже	2	3
57	и все	3	3
58	ясно что	3	3
59	и к	3	3
60	она может	2	3
61	говорить о	2	3
62	со всеми	2	3
63	не будем	2	3
64	нет и	4	3
65	приводит к	2	3
66	в таком	2	3
67	на этом	2	2
68	не могут	2	2
69	и есть	2	2
70	что все	2	2
71	в каждом	8	2
72	или иной	2	2
73	не можем	7	2
74	в свою	2	2
75	не дает	2	2
76	и пр	2	2
77	что это	2	2
78	он может	3	2
79	отличается от	3	2
80	с совершенно	2	2
81	и что	2	2
82	дает нам	2	2
83	мы должны	4	2
84	же самое	2	2
85	он должен	2	2
86	и во	2	2
87	у нас	3	2
88	одна из	3	2
89	ни одна	2	2
90	в некоторых	2	2
91	и именно	2	2
92	из которых	2	2
93	к чему	2	2
94	в виде	2	2
