N	2gram	Tiupa_Hudo_1	Vladivir
1	и в	14	31
2	не только	12	24
3	л м	2	19
4	но и	5	19
5	то что	8	18
6	и не	2	17
7	у него	9	15
8	и даже	3	15
9	м м	3	15
10	том что	16	14
11	что в	6	14
12	в этом	11	14
13	и с	4	14
14	там же	2	13
15	что он	9	12
16	в его	8	12
17	но в	5	12
18	с его	5	11
19	в том	12	11
20	потому что	5	11
21	о том	12	11
22	так что	2	10
23	он не	4	10
24	никогда не	6	9
25	как мы	3	9
26	а в	7	9
27	только в	5	9
28	в конце	4	9
29	и по	3	8
30	в то	8	8
31	для него	10	7
32	об этом	5	7
33	о нем	3	7
34	как раз	4	7
35	и его	5	7
36	мы уже	4	7
37	и к	4	6
38	можно сказать	4	6
39	в качестве	9	6
40	и потому	2	6
41	может быть	5	6
42	его жизни	2	6
43	так и	13	6
44	не может	7	6
45	то же	9	6
46	и что	2	6
47	а с	2	5
48	все это	2	5
49	на то	4	5
50	не в	7	5
51	но как	2	5
52	со своим	2	5
53	видно что	2	5
54	и от	4	5
55	а также	3	5
56	жизни и	5	5
57	что же	2	5
58	не было	4	5
59	в своих	3	5
60	но он	3	5
61	с ним	4	5
62	же время	8	4
63	в своем	4	4
64	что у	3	4
65	же касается	2	4
66	и все	4	4
67	в нем	3	4
68	в себе	11	4
69	да и	2	4
70	как и	9	4
71	в этой	8	4
72	по своей	4	4
73	такого рода	3	4
74	он уже	4	4
75	никак не	2	4
76	хотя и	2	4
77	еще в	3	4
78	в я	4	4
79	один из	4	4
80	себя в	4	4
81	в своей	10	4
82	а а	2	4
83	не раз	2	4
84	несмотря на	4	4
85	как он	2	4
86	и н	4	3
87	к тому	7	3
88	отнюдь не	3	3
89	и так	2	3
90	как в	8	3
91	к своему	2	3
92	но не	3	3
93	по своему	3	3
94	ничего не	8	3
95	все же	3	3
96	на его	2	3
97	в целом	2	3
98	на него	2	3
99	только на	2	3
100	в связи	3	3
101	все эти	3	3
102	уже не	7	3
103	и он	5	3
104	едва ли	3	3
105	и на	3	3
106	в начале	2	3
107	здесь не	2	3
108	мы читаем	2	2
109	тем что	3	2
110	в ответ	2	2
111	с и	2	2
112	не менее	5	2
113	в частности	5	2
114	для нее	2	2
115	и м	2	2
116	не столько	2	2
117	в тот	2	2
118	ясно что	2	2
119	одной из	2	2
120	тем не	4	2
121	мы знаем	2	2
122	ни в	5	2
123	этот момент	2	2
124	что я	2	2
125	от него	3	2
126	на этом	3	2
127	своего времени	3	2
128	еще не	7	2
129	при этом	12	2
130	того что	4	2
131	было бы	6	2
132	в это	2	2
133	что на	2	2
134	в самом	4	2
135	для своего	2	2
136	и о	4	2
137	к жизни	5	2
138	даже в	3	2
139	для себя	3	2
140	и т	11	2
141	и а	5	2
142	из них	4	2
143	со стороны	3	2
144	что она	4	2
145	только что	4	2
146	то и	3	2
147	как к	3	2
148	т д	3	2
149	и для	3	2
150	лишь в	3	2
151	того чтобы	3	2
152	своей жизни	2	2
153	не стал	2	2
154	той же	2	2
155	и личность	2	2
156	с того	2	2
157	с ними	2	2
158	в результате	2	2
159	пока еще	2	2
160	под ред	2	2
161	к этой	3	2
162	точки зрения	5	2
163	к себе	5	2
164	о котором	2	2
165	и это	4	2
