N	2gram	Medvedev_F_3	Tragedij
1	и в	27	18
2	в романе	4	10
3	в этом	18	9
4	не только	9	8
5	и не	30	7
6	и на	3	7
7	и с	3	7
8	может быть	25	7
9	как бы	8	7
10	что он	6	6
11	и его	19	6
12	же время	7	6
13	но в	6	6
14	все же	6	5
15	что это	3	5
16	так и	21	5
17	это не	3	5
18	не может	24	5
19	то же	15	5
20	в дальнейшем	5	5
21	как и	14	5
22	в то	7	5
23	но и	10	4
24	то что	8	4
25	в целом	4	4
26	что в	8	4
27	все это	7	4
28	прежде всего	4	4
29	и все	8	4
30	в нем	15	4
31	и даже	2	4
32	так же	9	4
33	том что	4	4
34	но это	2	4
35	в этой	2	4
36	и что	3	4
37	в себе	3	4
38	еще не	6	4
39	уже в	4	3
40	с ее	2	3
41	отнюдь не	8	3
42	в своем	2	3
43	романа и	2	3
44	в конце	3	3
45	как в	4	3
46	все эти	6	3
47	жизнь и	3	3
48	и как	4	3
49	в основном	2	3
50	в его	7	3
51	при этом	8	3
52	как это	4	3
53	еще в	3	2
54	не могут	10	2
55	что и	2	2
56	а что	3	2
57	она должна	2	2
58	раз и	3	2
59	в отличие	2	2
60	данном случае	4	2
61	но при	2	2
62	из своих	2	2
63	этого романа	2	2
64	но эта	2	2
65	уже не	3	2
66	бы и	3	2
67	с его	2	2
68	к тому	4	2
69	столь же	3	2
70	ни в	8	2
71	он был	4	2
72	в ее	4	2
73	в том	7	2
74	до конца	4	2
75	друг друга	5	2
76	отличие от	2	2
77	в таком	2	2
78	не в	12	2
79	что этот	2	2
80	в данном	6	2
81	одна из	2	2
82	потому что	7	2
83	с тем	7	2
84	тем что	5	2
85	он и	3	2
86	и ее	6	2
87	жизнью и	2	2
88	о том	4	2
89	его в	7	2
90	и это	2	2
91	в самом	11	2
92	ничего не	2	2
93	что она	2	2
94	никогда не	5	2
