N	2gram	Savitsky_P_1	FransuaR
1	и в	14	41
2	во всех	2	17
3	в нем	3	16
4	и с	2	16
5	но и	6	13
6	в этом	10	12
7	все это	2	11
8	прежде всего	3	10
9	не только	17	10
10	то что	4	10
11	но в	9	8
12	в них	2	7
13	том что	4	7
14	как бы	4	7
15	что в	4	7
16	в его	2	7
17	например в	2	6
18	в то	7	6
19	то же	9	5
20	в ее	2	5
21	же время	7	5
22	а также	4	5
23	из них	2	5
24	в своем	4	5
25	в себе	3	5
26	с другой	5	4
27	именно в	2	4
28	и как	3	4
29	не в	5	4
30	тот же	3	4
31	одной стороны	3	4
32	в ней	6	4
33	в котором	4	4
34	не может	4	4
35	с одной	3	4
36	а в	4	4
37	с этим	2	3
38	есть в	2	3
39	было бы	6	3
40	в начале	2	3
41	никак не	2	3
42	и не	12	3
43	того что	2	3
44	только в	7	3
45	потому что	3	3
46	в частности	2	2
47	стороны и	2	2
48	для нас	2	2
49	в том	9	2
50	тем более	2	2
51	но не	3	2
52	в значительной	2	2
53	знать что	2	2
54	может быть	5	2
55	хотя и	3	2
56	и потому	4	2
57	не будем	2	2
58	есть нечто	2	2
59	как раз	2	2
60	еще более	2	2
61	заключается в	3	2
62	а не	2	2
63	с точки	3	2
64	мы не	3	2
65	между тем	3	2
66	и весьма	2	2
67	точки зрения	3	2
68	говорить о	2	2
69	что мы	3	2
70	в области	11	2
71	в эту	2	2
