N	2gram	Berdyaev_N_1	slovoVRo
1	и в	16	39
2	может быть	7	37
3	не только	5	24
4	и не	11	22
5	но и	3	21
6	не может	16	20
7	в нем	5	19
8	все это	5	16
9	в этом	7	16
10	так и	2	15
11	а не	17	14
12	как в	3	13
13	во всех	3	12
14	в истории	3	11
15	не в	6	9
16	и с	2	9
17	прежде всего	4	8
18	себя в	2	8
19	с его	6	7
20	еще не	3	7
21	никогда не	6	7
22	и потому	4	7
23	и даже	2	7
24	могут быть	2	7
25	в них	4	6
26	и к	5	6
27	как и	7	6
28	но не	2	6
29	она не	3	6
30	жизни и	8	6
31	все эти	2	6
32	но в	2	6
33	с другой	3	5
34	это не	4	5
35	и для	4	5
36	и все	4	5
37	том что	2	5
38	одной стороны	2	5
39	в том	8	5
40	с одной	2	5
41	уже не	2	5
42	конечно не	3	5
43	мира и	2	5
44	не менее	4	4
45	эти формы	3	4
46	ни в	6	4
47	одна из	2	4
48	в смысле	2	4
49	в новое	3	4
50	для этого	2	4
51	а в	2	4
52	и на	2	4
53	в основе	3	4
54	xix века	5	4
55	в то	2	4
56	что в	9	3
57	хотя бы	2	3
58	и от	2	3
59	человека и	3	3
60	должна быть	3	3
61	но это	6	3
62	у него	2	3
63	с их	2	3
64	в ней	5	3
65	стремится к	3	3
66	лишь в	6	3
67	сказать что	3	3
68	к новому	7	3
69	как это	2	3
70	не было	4	2
71	ни к	2	2
72	хотя и	2	2
73	но она	2	2
74	и общества	2	2
75	жизни в	3	2
76	новое время	4	2
77	в себе	2	2
78	эпохи и	4	2
79	с ее	5	2
80	на протяжении	2	2
81	за пределы	3	2
82	должен быть	5	2
83	то что	4	2
84	вместе с	2	2
85	все они	2	2
86	с этим	2	2
87	всех сторон	4	2
88	это и	2	2
89	мы не	2	2
90	и т.п	2	2
91	того чтобы	2	2
92	роль в	2	2
93	в мировой	2	2
94	он не	8	2
95	ведь и	2	2
96	не знает	6	2
97	в прошлом	3	2
98	о том	4	2
99	стремиться к	2	2
100	в новом	2	2
