N	2gram	Tiupa_Teor_1	Myshleni
1	в том	16	42
2	том что	9	35
3	таким образом	3	25
4	точки зрения	9	24
5	в этом	8	24
6	в качестве	24	21
7	и в	18	20
8	что в	9	19
9	заключается в	2	18
10	в основе	3	17
11	то же	7	16
12	то что	3	15
13	не только	16	15
14	мышления и	2	14
15	с другой	7	12
16	при этом	12	12
17	в их	2	12
18	потому что	3	12
19	может быть	17	12
20	в целом	3	11
21	так же	2	11
22	в его	6	11
23	с точки	3	11
24	этого слова	3	11
25	того что	4	10
26	на основе	2	10
27	в отношении	3	10
28	если мы	2	10
29	и то	2	10
30	в себе	9	10
31	только в	6	10
32	слова в	2	9
33	и другие	2	9
34	и как	2	9
35	одной стороны	2	9
36	но и	9	9
37	другой стороны	5	9
38	с одной	2	9
39	между тем	5	9
40	могли бы	2	9
41	как это	8	9
42	как и	4	9
43	того же	3	9
44	что и	2	9
45	и не	13	8
46	и тем	3	8
47	и что	3	8
48	этом смысле	2	8
49	вместе с	2	8
50	как бы	5	7
51	в своей	6	7
52	тем самым	4	7
53	а не	9	7
54	могут быть	4	7
55	одного и	3	6
56	к тому	2	6
57	такого рода	8	6
58	в самом	4	6
59	не может	4	6
60	сказать что	3	6
61	по своей	3	6
62	его в	2	6
63	перед нами	2	5
64	в частности	16	5
65	никогда не	4	5
66	это не	2	5
67	не является	4	5
68	только не	2	5
69	если бы	3	5
70	и его	8	5
71	между собой	3	5
72	и к	3	5
73	и того	3	5
74	так и	10	5
75	как в	5	5
76	все эти	2	5
77	в нашем	4	4
78	тому что	2	4
79	в своем	4	4
80	в ходе	4	4
81	роль в	2	4
82	состоит в	17	4
83	по своему	2	4
84	ключ к	2	4
85	между ними	4	4
86	не в	7	4
87	и для	2	4
88	в области	4	4
89	не могут	2	3
90	не менее	4	3
91	в этих	3	3
92	в какой	2	3
93	а только	3	3
94	в этой	3	3
95	одной из	2	3
96	и является	2	3
97	в виду	5	3
98	один из	2	3
99	со стороны	2	3
100	именно в	3	3
101	столь же	2	3
102	к которому	3	3
103	но в	9	3
104	отнюдь не	3	3
105	представляет собой	9	3
106	но не	9	3
107	себя в	6	3
108	приводит к	5	3
109	говорит что	2	3
110	ни в	2	3
111	в равной	3	3
112	в которой	2	3
113	на деле	2	3
114	место в	5	2
115	том числе	2	2
116	прежде всего	2	2
117	свою очередь	2	2
118	в следующей	2	2
119	в свою	3	2
120	для него	2	2
121	случае не	2	2
122	вслед за	2	2
123	одним из	2	2
124	в нем	4	2
125	данном случае	5	2
126	отличается от	2	2
127	в отличие	6	2
128	а в	13	2
129	у одного	2	2
130	не знает	3	2
131	в данном	8	2
132	из этих	3	2
133	и здесь	2	2
134	говоря о	3	2
135	их в	3	2
136	понятие о	2	2
137	мы имеем	7	2
138	между двумя	3	2
139	еще не	4	2
140	мы в	2	2
141	видим в	2	2
142	далеко не	2	2
143	а также	6	2
144	даже в	3	2
145	как говорит	3	2
146	и т.п	4	2
147	тогда как	15	2
148	а с	3	2
149	в той	2	2
150	по пути	3	2
151	может служить	2	2
152	в слове	3	2
153	и т.д	3	2
154	и это	2	2
155	отличие от	6	2
