N	2gram	Bakhtin_Fr_7	Problema
1	то что	8	42
2	вовсе не	7	35
3	то есть	20	33
4	и в	41	32
5	и не	7	31
6	не есть	2	29
7	не просто	2	23
8	в этом	15	19
9	не только	5	17
10	потому что	5	16
11	а не	2	15
12	в себе	11	15
13	как бы	7	14
14	может быть	4	14
15	но в	8	14
16	в нем	7	13
17	что в	9	12
18	том что	4	12
19	так и	10	12
20	также и	2	11
21	о том	6	11
22	так как	3	11
23	то же	13	10
24	прежде всего	11	10
25	в этой	13	10
26	ничего не	4	10
27	в том	11	9
28	но и	9	9
29	так же	5	9
30	по своему	2	9
31	еще не	2	9
32	в данном	2	9
33	и это	5	9
34	не может	3	8
35	все эти	13	8
36	и на	4	8
37	было бы	4	8
38	в своей	3	8
39	как нечто	2	8
40	но это	3	8
41	и ее	2	8
42	никогда не	2	7
43	ни в	6	7
44	все это	10	7
45	того что	2	7
46	в них	7	7
47	и все	14	7
48	что он	3	7
49	во всех	3	7
50	как мы	11	7
51	во всяком	2	7
52	тем что	3	7
53	только в	6	7
54	и есть	3	6
55	в конце	8	6
56	и как	2	6
57	при этом	3	6
58	хотя и	4	6
59	в виду	4	6
60	таким образом	19	6
61	это не	6	6
62	и здесь	4	6
63	и то	2	6
64	его в	3	6
65	есть не	2	6
66	в то	10	6
67	в его	12	6
68	на самом	2	6
69	перед нами	2	5
70	в своем	9	5
71	а только	2	5
72	есть в	6	5
73	мы уже	12	5
74	далеко не	2	5
75	совсем не	3	4
76	именно в	2	4
77	вещи в	2	4
78	не в	9	4
79	на том	2	4
80	в их	3	4
81	не было	3	4
82	или в	2	4
83	а в	5	4
84	их в	2	4
85	как он	2	4
86	конце концов	4	4
87	в отдельности	2	4
88	в литературе	2	4
89	же в	2	4
90	а также	2	4
91	как в	5	4
92	только на	2	4
93	тем самым	3	4
94	и для	5	4
95	в связи	2	4
96	уже в	5	3
97	что это	4	3
98	в этих	2	3
99	в отношении	3	3
100	что все	2	3
101	но все	4	3
102	оно и	2	3
103	более или	2	3
104	несмотря на	3	3
105	другими словами	2	3
106	из них	3	3
107	и его	9	3
108	в которых	2	3
109	с этим	2	3
110	но он	4	3
111	точки зрения	5	3
112	и еще	2	3
113	с ним	2	3
114	по этому	3	3
115	и во	2	3
116	как и	14	3
117	учение о	2	3
118	того же	3	3
119	есть и	3	3
120	но именно	3	3
121	мы в	2	3
122	к тому	2	3
123	нужно сказать	2	3
124	он не	4	3
125	о нем	3	3
126	оно не	2	3
127	или менее	2	3
128	того как	5	3
129	уже не	2	3
130	бы оно	2	3
131	свидетельствует о	2	3
132	не на	3	3
133	во всей	2	3
134	к нему	5	3
135	с точки	3	3
136	что значит	2	3
137	можно было	3	3
138	дело в	2	3
139	в чем	2	3
140	все время	2	2
141	в это	3	2
142	его как	2	2
143	нас не	2	2
144	следовательно и	2	2
145	себе все	2	2
146	момент в	4	2
147	оказывается что	3	2
148	для него	6	2
149	кроме того	3	2
150	например в	3	2
151	здесь нет	2	2
152	на этой	4	2
153	и до	6	2
154	образом и	2	2
155	не имеет	3	2
156	должно быть	4	2
157	особенно в	2	2
158	в результате	2	2
159	и с	4	2
160	может иметь	2	2
161	здесь только	2	2
162	мы имеем	2	2
163	том как	2	2
164	поэтому и	3	2
165	с его	2	2
166	и так	2	2
167	для нашего	2	2
168	направление в	2	2
169	по существу	8	2
170	мы видим	6	2
171	в качестве	9	2
172	и может	2	2
173	со всеми	2	2
174	но есть	3	2
175	в сущности	4	2
176	и потому	3	2
177	вместе с	5	2
178	и сама	2	2
179	мы здесь	2	2
180	и всегда	2	2
181	мы не	2	2
182	нас в	3	2
183	на одном	5	2
184	в которой	2	2
185	в области	2	2
186	это было	2	2
