N	2gram	Berdyaev_V_1	Myshleni
1	то что	9	26
2	что он	4	25
3	в этом	4	25
4	потому что	4	21
5	в том	3	18
6	того чтобы	2	17
7	что в	3	16
8	и в	16	16
9	того что	5	16
10	так как	9	16
11	не только	2	16
12	том что	2	15
13	и не	20	12
14	и что	3	12
15	в его	4	11
16	но не	2	10
17	а не	7	10
18	только в	2	10
19	должно быть	3	8
20	как и	4	8
21	и есть	4	7
22	в нем	4	7
23	так и	4	7
24	что все	4	6
25	не в	3	6
26	но и	5	6
27	но в	3	6
28	к тому	3	6
29	должна быть	3	5
30	никогда не	3	5
31	тому что	3	5
32	мы и	2	5
33	что они	7	5
34	для него	2	5
35	как бы	5	5
36	но мы	2	5
37	хотя бы	3	5
38	с ним	2	5
39	тот же	3	5
40	можно было	2	5
41	тем что	2	5
42	не могут	2	4
43	все эти	3	4
44	это не	2	4
45	не имеет	3	4
46	что мы	4	4
47	еще не	8	4
48	не есть	6	4
49	и то	2	4
50	могут быть	2	4
51	прежде всего	2	3
52	но это	3	3
53	вместо того	2	3
54	его и	2	3
55	а в	2	3
56	говорить о	4	3
57	в этих	3	3
58	между тем	2	3
59	мы не	2	3
60	с тем	2	3
61	что и	3	3
62	ее в	2	3
63	в себя	2	3
64	вот почему	2	3
65	в чем	3	3
66	до того	2	2
67	вслед за	2	2
68	в ней	4	2
69	в котором	4	2
70	в своей	3	2
71	уже на	2	2
72	все это	5	2
73	все равно	2	2
74	в истории	8	2
75	их в	3	2
76	в них	3	2
77	что было	2	2
78	в жизни	3	2
79	не с	2	2
80	то это	3	2
81	что я	3	2
82	в вопросе	3	2
83	все что	4	2
84	это мы	2	2
85	жизни и	3	2
86	и потому	7	2
87	во всех	3	2
88	а с	2	2
89	почему в	2	2
90	чтобы сделать	2	2
91	во всяком	2	2
92	в старой	2	2
93	которые не	2	2
