N	2gram	Medvedev_V_1	Komedia
1	и в	26	26
2	и не	19	14
3	к тому	4	12
4	так и	5	12
5	и его	6	12
6	в том	15	11
7	может быть	22	11
8	но и	10	10
9	в этом	26	10
10	что в	10	9
11	том что	8	9
12	если бы	3	9
13	вместе с	7	9
14	было бы	7	8
15	из них	9	7
16	не только	25	7
17	что и	3	7
18	ли не	2	7
19	в своем	8	6
20	во время	3	6
21	то что	6	6
22	еще не	2	6
23	в нем	6	6
24	того чтобы	3	6
25	в то	6	6
26	о том	10	6
27	таким образом	31	6
28	с его	3	5
29	с тем	3	5
30	в которой	2	5
31	к этому	9	5
32	что он	4	5
33	а затем	2	5
34	в качестве	11	5
35	один из	5	5
36	на основании	8	5
37	с этим	3	5
38	для того	3	5
39	действующих лиц	5	5
40	не менее	2	4
41	в частности	11	4
42	у него	6	4
43	тому что	6	4
44	в них	4	4
45	что у	2	4
46	и от	3	4
47	прежде всего	13	4
48	из этих	7	4
49	о его	2	4
50	же в	6	4
51	как и	7	4
52	в целом	4	4
53	хотя и	2	4
54	в его	14	4
55	все же	5	4
56	не по	2	4
57	в самом	4	4
58	до нас	2	4
59	и для	2	4
60	что для	3	4
61	можно было	2	4
62	точки зрения	3	4
63	только в	7	4
64	как это	12	4
65	его в	3	4
66	между тем	5	4
67	том числе	2	3
68	о чем	2	3
69	представить себе	2	3
70	в каждом	2	3
71	в образе	2	3
72	мы знаем	3	3
73	жизни и	3	3
74	что его	2	3
75	отношению к	7	3
76	связи с	4	3
77	но не	2	3
78	во всех	6	3
79	же время	5	3
80	по поводу	2	3
81	из которых	2	3
82	например в	3	3
83	в ней	2	3
84	в котором	3	3
85	многие из	2	3
86	в своей	4	3
87	и их	3	3
88	даже не	2	3
89	в их	5	3
90	все это	10	3
91	при всем	3	3
92	по отношению	7	3
93	в связи	3	3
94	то же	10	3
95	не было	7	3
96	а в	3	3
97	войны и	2	3
98	или в	3	3
99	человека в	2	3
100	не может	17	3
101	как он	2	3
102	в этой	4	3
103	но в	2	3
104	что ни	2	2
105	если в	2	2
106	и есть	5	2
107	как видим	8	2
108	отнюдь не	3	2
109	с другой	11	2
110	это не	7	2
111	в конце	3	2
112	силу этого	4	2
113	в одном	4	2
114	вовсе не	3	2
115	нет и	3	2
116	этом же	2	2
117	то это	2	2
118	и к	3	2
119	в пользу	2	2
120	об этом	9	2
121	в ее	4	2
122	не в	6	2
123	из его	3	2
124	не столь	3	2
125	в силу	11	2
126	является не	4	2
127	одна из	4	2
128	как известно	2	2
129	одной стороны	2	2
130	вслед за	2	2
131	каждой из	2	2
132	ни одна	2	2
133	одним из	5	2
134	от того	2	2
135	он не	2	2
136	как бы	5	2
137	которые в	2	2
138	не вполне	2	2
139	частности в	2	2
140	даже в	5	2
141	не является	5	2
142	хотя бы	19	2
143	и т	23	2
144	после этого	2	2
145	что она	2	2
146	т п	9	2
147	видно из	3	2
148	с одной	2	2
149	в течение	2	2
150	три года	2	2
151	и у	2	2
152	бы и	6	2
153	также что	2	2
154	роль в	4	2
155	с ними	4	2
156	в философии	4	2
157	не следует	8	2
158	и ее	4	2
159	к его	2	2
160	чуть ли	2	2
161	говорить о	2	2
162	на это	2	2
163	бы в	3	2
164	мы имеем	3	2
165	в виду	4	2
