N	2gram	Tiupa_Teor_1	Komedia
1	и в	18	22
2	и не	13	21
3	том что	9	13
4	в том	16	12
5	таким образом	3	12
6	со стороны	2	11
7	ни в	2	10
8	потому что	3	10
9	в самом	4	9
10	вместе с	2	9
11	если бы	3	8
12	в своем	4	8
13	в его	6	8
14	что и	2	8
15	в этом	8	8
16	его в	2	8
17	об этом	2	7
18	при этом	12	7
19	в свою	3	7
20	то же	7	7
21	а в	13	7
22	в конце	2	7
23	свою очередь	2	6
24	того же	3	6
25	еще не	4	6
26	к тому	2	6
27	может быть	17	6
28	как раз	2	6
29	и что	3	6
30	и его	8	6
31	в то	6	6
32	не менее	4	5
33	что в	9	5
34	же время	5	5
35	прежде всего	2	5
36	как это	8	5
37	хотя и	3	5
38	не только	16	5
39	в своей	6	5
40	отношение к	5	5
41	все это	2	5
42	по отношению	4	5
43	он не	3	5
44	но в	9	5
45	отнюдь не	3	4
46	однако в	7	4
47	между собой	3	4
48	с другой	7	4
49	вовсе не	3	4
50	и здесь	2	4
51	не в	7	4
52	то что	3	4
53	но и	9	4
54	что она	2	4
55	в отношении	3	4
56	а не	9	4
57	и для	2	4
58	так же	2	4
59	точки зрения	9	4
60	на себя	2	4
61	в себе	9	4
62	так и	10	4
63	не является	4	4
64	с его	5	3
65	в частности	16	3
66	обращается к	2	3
67	никогда не	4	3
68	в них	2	3
69	в глаза	2	3
70	в какой	2	3
71	в нем	4	3
72	далеко не	2	3
73	и к	3	3
74	тем не	3	3
75	в ее	5	3
76	как и	4	3
77	в этой	3	3
78	по своему	2	3
79	который в	2	3
80	одной стороны	2	3
81	как бы	5	3
82	один из	2	3
83	отношению к	4	3
84	в целом	3	3
85	приводит к	5	3
86	не может	4	3
87	дома и	2	3
88	с одной	2	3
89	с точки	3	3
90	столь же	2	3
91	и даже	2	3
92	их в	3	3
93	одной из	2	3
94	представляет собой	9	3
95	говорить о	3	3
96	не знает	3	3
97	в которой	2	3
98	в основе	3	2
99	состоит в	17	2
100	конечном счете	6	2
101	в качестве	24	2
102	как в	5	2
103	не будет	2	2
104	это не	2	2
105	и особенно	2	2
106	нового времени	3	2
107	в одном	2	2
108	не могут	2	2
109	для понимания	2	2
110	если мы	2	2
111	отличие от	6	2
112	в присутствии	2	2
113	перед лицом	2	2
114	а на	3	2
115	в пределах	5	2
116	за пределы	2	2
117	в произведениях	2	2
118	и о	4	2
119	одним из	2	2
120	известной степени	3	2
121	в конечном	6	2
122	а также	6	2
123	между ними	4	2
124	за пределами	5	2
125	так или	4	2
126	не с	3	2
127	дело не	2	2
128	могло быть	2	2
129	в их	2	2
130	другой стороны	5	2
131	отношения к	2	2
132	в мире	19	2
133	роль в	2	2
134	с другими	5	2
135	или иначе	5	2
136	тому что	2	2
137	между тем	5	2
138	и ее	3	2
139	в другом	3	2
140	и это	2	2
141	всего лишь	6	2
142	в области	4	2
143	в виду	5	2
