N	2gram	Vinokur_Ku_2	KFilosof
1	может быть	15	43
2	в его	5	39
3	в нем	4	31
4	не может	9	27
5	и не	16	26
6	и в	23	22
7	а не	10	17
8	и его	3	17
9	только в	5	16
10	точки зрения	14	13
11	в этом	18	13
12	ни в	4	12
13	но не	6	12
14	и это	3	12
15	все эти	12	11
16	в своей	2	11
17	не в	8	11
18	к нему	2	11
19	в своем	2	10
20	это не	6	10
21	все это	5	10
22	с точки	8	10
23	и есть	2	9
24	но и	7	9
25	в их	2	9
26	как бы	4	9
27	и все	2	9
28	и для	2	9
29	не было	4	8
30	лишь в	5	8
31	если бы	12	8
32	было бы	15	8
33	со стороны	4	8
34	и здесь	5	7
35	вовсе не	9	7
36	конечно не	2	7
37	должен быть	5	7
38	что и	3	7
39	то что	9	7
40	быть только	2	7
41	я не	5	6
42	в том	19	6
43	но это	3	6
44	смысл и	3	6
45	отнюдь не	4	6
46	совершенно не	3	6
47	он не	3	6
48	уже не	8	6
49	никогда не	2	5
50	хотя бы	9	5
51	то же	6	5
52	но все	4	5
53	именно в	3	5
54	не имеет	4	5
55	должно быть	4	5
56	но в	11	5
57	не знает	3	5
58	как и	2	5
59	что я	4	5
60	не только	20	5
61	все же	7	5
62	мы имеем	5	5
63	там где	5	5
64	что в	10	4
65	для нас	4	4
66	здесь мы	2	4
67	при этом	2	4
68	в своих	2	4
69	с ними	2	4
70	между тем	6	4
71	нисколько не	3	4
72	не как	2	4
73	том что	11	4
74	только как	2	4
75	а в	3	4
76	тем самым	2	4
77	в каком	4	4
78	бы и	4	3
79	должна быть	5	3
80	что это	7	3
81	не менее	7	3
82	в свою	2	3
83	до конца	3	3
84	и пр	8	3
85	в виду	3	3
86	был бы	2	3
87	и тем	5	3
88	в корне	2	3
89	от того	4	3
90	того что	3	3
91	рядом с	2	3
92	и на	6	3
93	в ней	3	3
94	в то	4	3
95	отсюда и	2	3
96	того или	2	3
97	но здесь	2	3
98	всех этих	3	3
99	сознания и	2	3
100	а следовательно	2	3
101	этом смысле	5	3
102	ясно что	5	3
103	или иного	2	3
104	не должно	2	3
105	данный момент	3	3
106	могла бы	2	3
107	еще не	5	3
108	в современной	2	3
109	но можно	2	3
110	на самом	2	3
111	самом деле	9	3
112	для того	9	3
113	что не	6	3
114	тем что	3	3
115	могут быть	4	3
116	в другом	2	3
117	здесь не	3	3
118	ничего не	4	3
119	слова в	6	2
120	смысла и	2	2
121	или иное	3	2
122	можно ли	4	2
123	мысль и	2	2
124	прежде всего	8	2
125	вопрос о	9	2
126	его к	2	2
127	тем не	6	2
128	соответствии с	2	2
129	же время	3	2
130	но для	3	2
131	вся эта	2	2
132	что значит	2	2
133	по себе	10	2
134	для этого	3	2
135	быть не	2	2
136	что за	2	2
137	для этой	2	2
138	потому что	25	2
139	он и	2	2
140	говорить о	4	2
141	а это	2	2
142	ни к	15	2
143	и то	5	2
144	с тем	2	2
145	что эта	2	2
146	к этому	4	2
147	что он	5	2
148	в соответствии	3	2
149	разве не	2	2
150	в качестве	8	2
151	ли это	2	2
152	тот же	5	2
153	но есть	2	2
154	и потому	2	2
155	этого слова	5	2
156	дело не	2	2
157	оно не	2	2
158	лишь с	2	2
159	в процессе	3	2
160	так и	4	2
161	как в	3	2
162	это только	2	2
163	это и	3	2
164	чтобы не	2	2
165	сводится к	3	2
166	того чтобы	11	2
167	то или	3	2
168	в данном	4	2
169	от этого	2	2
170	в этой	6	2
171	в области	11	2
