N	2gram	Propp_Russ_2	Freidism
1	таким образом	6	24
2	не может	5	20
3	прежде всего	2	18
4	и пр	2	15
5	в этом	11	15
6	может быть	13	13
7	как и	11	11
8	как бы	18	11
9	то что	5	11
10	все эти	3	11
11	как мы	3	10
12	его в	8	10
13	но в	5	10
14	и в	29	9
15	во всех	3	9
16	еще не	6	8
17	в своей	2	8
18	не только	10	8
19	все это	10	8
20	то же	4	8
21	и все	4	8
22	так как	13	8
23	к нему	4	7
24	один из	2	7
25	мы видели	7	7
26	никогда не	2	6
27	и ее	2	6
28	того что	3	6
29	совершенно не	2	6
30	и с	10	6
31	связь с	3	5
32	не в	4	5
33	в этой	3	5
34	для этого	5	5
35	в то	2	5
36	что в	22	5
37	но и	8	5
38	на самом	2	5
39	для того	6	5
40	а в	9	5
41	и на	6	5
42	могут быть	2	5
43	с этим	2	5
44	не менее	2	4
45	но не	5	4
46	в котором	3	4
47	в этих	3	4
48	из этих	2	4
49	с другими	3	4
50	об этом	2	4
51	на этом	3	4
52	связанные с	2	4
53	при этом	6	4
54	и о	3	4
55	все же	2	4
56	данном случае	7	4
57	не было	2	4
58	уже не	4	4
59	того чтобы	6	4
60	и для	2	4
61	совсем не	2	4
62	в которой	2	4
63	мы не	6	4
64	в таком	4	4
65	в данном	6	4
66	этот вопрос	2	4
67	потому что	5	4
68	во время	12	4
69	главным образом	3	3
70	в них	4	3
71	и от	3	3
72	на себя	2	3
73	и как	2	3
74	она не	3	3
75	было бы	3	3
76	ее в	8	3
77	вместе с	6	3
78	как в	7	3
79	и что	5	3
80	и по	3	3
81	мы имеем	6	3
82	такие же	3	3
83	одна из	11	3
84	видели что	4	2
85	и другие	14	2
86	что это	3	2
87	между собой	2	2
88	с другой	2	2
89	это не	5	2
90	к этому	5	2
91	не можем	2	2
92	тем не	2	2
93	для нас	6	2
94	в ее	3	2
95	до конца	3	2
96	влияние на	2	2
97	это и	2	2
98	том что	22	2
99	в глаза	2	2
100	а не	4	2
101	связано с	2	2
102	что с	2	2
103	одной стороны	2	2
104	из них	4	2
105	не совсем	2	2
106	но если	3	2
107	в него	2	2
108	в этот	10	2
109	на две	2	2
110	такие представления	2	2
111	дело не	2	2
112	что она	3	2
113	также в	2	2
114	силу и	2	2
115	в их	2	2
116	а с	2	2
117	с одной	2	2
118	в отличие	3	2
119	заметить что	2	2
120	так же	4	2
121	отличие от	3	2
122	в таких	3	2
123	и то	2	2
124	здесь в	2	2
125	их в	4	2
126	в своих	2	2
127	что и	2	2
128	и при	2	2
129	все то	2	2
130	когда мы	2	2
131	как это	4	2
132	в эту	3	2
133	в момент	2	2
134	в виду	2	2
