N	2gram	Savitsky_E_1	FransuaR
1	и в	37	65
2	то есть	6	45
3	как бы	6	22
4	и не	14	22
5	вовсе не	6	18
6	в том	11	16
7	в этом	12	15
8	но в	14	14
9	прежде всего	9	11
10	и на	6	11
11	и потому	5	10
12	не только	18	10
13	но и	14	10
14	так и	10	10
15	в его	2	9
16	во всех	6	9
17	по своему	7	8
18	в своем	14	8
19	и даже	6	8
20	культуры и	2	8
21	в области	11	7
22	жизни и	2	7
23	влияние на	2	7
24	точки зрения	23	7
25	только в	9	7
26	главным образом	2	6
27	никогда не	3	6
28	том что	6	6
29	как мы	5	6
30	в значительной	2	6
31	может быть	6	6
32	в ней	4	6
33	в отношении	32	6
34	сказать что	4	6
35	так как	7	6
36	в одном	2	5
37	в частности	5	5
38	еще более	2	5
39	жизни в	3	5
40	в них	3	5
41	потому что	3	5
42	есть в	2	5
43	или иной	4	5
44	в своей	8	5
45	меньшей степени	2	5
46	той или	4	5
47	как в	3	5
48	как и	7	5
49	в той	5	5
50	в своих	2	5
51	между тем	8	5
52	и все	2	5
53	в общем	3	4
54	этой культуры	2	4
55	и к	3	4
56	не в	5	4
57	в этой	2	4
58	в самом	4	4
59	из них	3	4
60	в их	11	4
61	для нас	4	4
62	начало в	2	4
63	мира и	3	4
64	между ними	2	4
65	культуры в	4	4
66	и еще	2	4
67	не могут	2	3
68	но на	3	3
69	что в	21	3
70	не является	3	3
71	и во	2	3
72	европейской культуры	3	3
73	в ее	8	3
74	и эта	2	3
75	по своей	2	3
76	даже в	4	3
77	к нему	2	3
78	с точки	17	3
79	то что	6	3
80	и прежде	3	3
81	не может	9	3
82	в известной	3	3
83	этом отношении	3	3
84	и других	2	3
85	применении к	3	3
86	во всей	2	3
87	с другой	7	3
88	в применении	3	3
89	в других	2	3
90	в себе	9	3
91	далеко не	2	3
92	но как	2	3
93	и с	2	3
94	мира в	4	3
95	но не	5	2
96	во многом	2	2
97	начиная с	2	2
98	к тому	8	2
99	и от	3	2
100	во многих	4	2
101	идеологии и	2	2
102	бы ни	3	2
103	можно сказать	4	2
104	нам кажется	7	2
105	же в	2	2
106	из всех	3	2
107	мы видим	2	2
108	одной стороны	8	2
109	несмотря на	4	2
110	между прочим	7	2
111	наряду с	2	2
112	мира то	2	2
113	хотя и	2	2
114	он не	2	2
115	его на	2	2
116	и для	3	2
117	не к	2	2
118	во второй	3	2
119	в большинстве	2	2
120	в некоторых	2	2
121	время в	3	2
122	в процессе	4	2
123	второй половине	2	2
124	которого мы	2	2
125	с одной	8	2
126	свои пределы	2	2
127	на них	2	2
128	того что	7	2
129	и наконец	2	2
130	на этот	2	2
131	ссылаться на	2	2
132	и по	5	2
133	отметить что	3	2
134	в таком	3	2
135	или в	2	2
136	этот вопрос	2	2
137	культуры но	2	2
138	и человеческой	2	2
139	которое в	2	2
140	в этих	2	2
141	но с	2	2
142	могут быть	2	2
143	ни на	3	2
144	о том	3	2
145	дело в	3	2
146	большинстве случаев	3	2
