N	3gram	Trubetskoy_1	Myshleni
1	в том что	15	17
2	вместе с тем	2	10
3	заключается в том	2	7
4	для того чтобы	7	7
5	так же как	3	6
6	тот факт что	4	5
7	с одной стороны	2	5
8	тем не менее	4	5
9	в связи с	3	5
10	друг с другом	9	5
11	и того же	3	4
12	в то время	2	4
13	во всяком случае	2	4
14	одного и того	3	4
15	по сравнению с	5	3
16	о том что	4	3
17	а с другой	2	3
18	на то что	7	3
19	с другой стороны	4	3
20	в том виде	2	2
21	совершенно так же	4	2
22	и то что	3	2
23	в свою очередь	2	2
24	как и в	2	2
25	заключает в себе	2	2
26	не может быть	3	2
27	по отношению к	9	2
