N	2gram	Ircho_Kome_1	TeoriaLi
1	не только	10	18
2	в качестве	4	17
3	и не	8	16
4	а в	6	14
5	в частности	3	13
6	и в	22	13
7	может быть	9	12
8	так и	5	12
9	при этом	5	11
10	в этом	3	11
11	в том	11	11
12	но не	2	10
13	и его	8	10
14	в его	5	9
15	то же	6	9
16	что в	6	8
17	такого рода	6	8
18	отношению к	3	8
19	но и	11	8
20	по отношению	3	8
21	в себе	2	7
22	том что	12	7
23	во второй	3	7
24	точки зрения	4	7
25	по своей	2	7
26	в то	10	7
27	только в	3	7
28	как это	3	7
29	отличие от	2	7
30	место в	3	6
31	же время	4	6
32	еще не	2	6
33	в первой	2	6
34	но в	4	6
35	в рамках	2	5
36	и одновременно	3	5
37	однако в	3	5
38	а также	4	5
39	как и	9	5
40	не в	6	5
41	в самом	2	5
42	в нем	4	5
43	как в	5	5
44	он не	3	5
45	в принципе	2	5
46	с другой	5	5
47	между тем	5	5
48	не менее	3	4
49	в свою	2	4
50	ни в	6	4
51	то что	2	4
52	отношение к	3	4
53	в форме	2	4
54	или менее	2	4
55	в их	4	4
56	не может	2	4
57	хотя и	3	4
58	но он	2	4
59	и ее	3	4
60	как правило	3	4
61	со своей	2	3
62	в отношении	6	3
63	в противоположность	2	3
64	прежде всего	5	3
65	тем не	2	3
66	по своему	3	3
67	и сам	3	3
68	мог бы	2	3
69	на две	2	3
70	с ее	2	3
71	другой стороны	5	3
72	как раз	3	3
73	так в	4	3
74	таким образом	8	3
75	именно в	4	3
76	в другом	4	3
77	и вот	4	3
78	и по	6	3
79	или в	2	3
80	потому что	5	3
81	нового времени	5	3
82	в финале	2	3
83	в этой	7	3
84	его в	3	3
85	к которому	3	3
86	одну из	2	2
87	могут быть	3	2
88	за пределы	2	2
89	в конце	6	2
90	того же	2	2
91	этом что	2	2
92	вовсе не	2	2
93	что он	6	2
94	к тому	6	2
95	и как	3	2
96	что они	4	2
97	казалось бы	3	2
98	перед лицом	3	2
99	одной стороны	3	2
100	одной из	3	2
101	из которых	2	2
102	вслед за	2	2
103	в стихе	2	2
104	здесь мы	3	2
105	даже в	3	2
106	к числу	2	2
107	и особенно	4	2
108	и тем	2	2
109	к нему	2	2
110	в целом	3	2
111	принадлежит к	2	2
112	вместе с	2	2
113	со стороны	2	2
114	с одной	3	2
115	в себя	2	2
116	в году	3	2
117	и о	3	2
118	и даже	5	2
119	и притом	2	2
120	так же	3	2
121	право на	2	2
122	у него	3	2
123	на себя	2	2
124	и здесь	2	2
125	как будто	2	2
126	не следует	2	2
127	о том	8	2
128	в чем	3	2
129	в которой	6	2
130	в области	2	2
