N	3gram	Losev_Vlad_3	StatiiOP
1	в том что	10	16
2	о том что	8	11
3	в этом отношении	2	9
4	к тому что	2	5
5	вместе с тем	6	5
6	дело в том	5	4
7	что в своем	2	3
8	с другой стороны	2	3
9	так же как	2	3
10	обращает на себя	2	3
11	иметь в виду	2	3
12	во всяком случае	3	3
13	то что в	3	2
14	в отличие от	3	2
15	совершенно так же	2	2
16	бы то ни	3	2
17	том что в	3	2
18	и в этом	5	2
19	в это время	2	2
20	к тому же	5	2
21	на то что	2	2
22	более или менее	5	2
23	с точки зрения	6	2
24	на себя внимание	2	2
25	тем не менее	9	2
