N	2gram	Bakhtin_sl_1	KFilosof
1	может быть	14	43
2	в его	13	39
3	в нем	30	31
4	не может	14	27
5	и не	16	26
6	и в	41	22
7	в котором	2	21
8	в себе	3	21
9	не есть	2	19
10	в ее	2	17
11	а не	15	17
12	и его	14	17
13	только в	6	16
14	точки зрения	16	13
15	в этом	12	13
16	для него	3	12
17	но не	2	12
18	и единственного	4	11
19	все эти	9	11
20	в своей	7	11
21	не в	7	11
22	к нему	5	11
23	в своем	3	10
24	это не	6	10
25	все это	5	10
26	во всех	17	10
27	с точки	8	10
28	в целом	2	9
29	но и	16	9
30	в их	4	9
31	как бы	12	9
32	и все	4	9
33	и для	4	9
34	не было	3	8
35	лишь в	4	8
36	единого и	4	8
37	было бы	3	8
38	момент его	3	8
39	и здесь	3	7
40	вовсе не	7	7
41	конечно не	3	7
42	себя в	9	7
43	быть только	2	7
44	в смысле	4	6
45	в том	3	6
46	отношение к	7	6
47	совершенно не	2	6
48	он не	3	6
49	уже не	2	6
50	никогда не	3	5
51	хотя бы	3	5
52	то же	14	5
53	его как	2	5
54	и единственный	3	5
55	от его	3	5
56	в контексте	2	5
57	именно в	3	5
58	должно быть	2	5
59	в основе	5	5
60	его в	3	5
61	с ним	7	5
62	но в	8	5
63	как и	4	5
64	не только	16	5
65	все же	7	5
66	там где	4	5
67	время и	2	4
68	входит в	4	4
69	ни было	2	4
70	для нас	2	4
71	при этом	6	4
72	с ними	3	4
73	между тем	2	4
74	в одном	2	4
75	нисколько не	2	4
76	не как	4	4
77	том что	2	4
78	о нем	4	4
79	как его	5	4
80	а в	6	4
81	бы и	3	3
82	в каждом	4	3
83	единый и	2	3
84	лишь как	3	3
85	из него	2	3
86	в свою	3	3
87	до конца	12	3
88	нем и	3	3
89	на язык	2	3
90	был бы	2	3
91	и тем	2	3
92	к единому	2	3
93	того что	3	3
94	слово не	2	3
95	рядом с	4	3
96	и на	14	3
97	в ней	4	3
98	в то	14	3
99	того или	2	3
100	о том	3	3
101	но здесь	3	3
102	мы не	2	3
103	всех этих	4	3
104	на своем	5	3
105	или иного	2	3
106	не должно	3	3
107	данный момент	4	3
108	по своему	2	3
109	еще не	4	3
110	быть и	4	3
111	в единство	2	3
112	на самом	2	3
113	всех своих	2	3
114	для того	2	3
115	могут быть	19	3
116	в другом	2	3
117	здесь не	2	3
118	и этим	3	3
119	ничего не	4	3
120	слова в	8	2
121	может не	8	2
122	смысла и	3	2
123	а с	2	2
124	его и	3	2
125	прежде всего	8	2
126	или иной	9	2
127	войти в	2	2
128	же время	12	2
129	он может	2	2
130	вокруг него	2	2
131	в него	3	2
132	тому что	2	2
133	и единство	2	2
134	как к	2	2
135	возможности в	2	2
136	и других	3	2
137	не из	2	2
138	потому что	2	2
139	той или	9	2
140	подхода к	5	2
141	в сознании	2	2
142	а как	2	2
143	с его	4	2
144	и то	2	2
145	к этому	2	2
146	каждый момент	2	2
147	в качестве	3	2
148	всех его	7	2
149	и может	3	2
150	и потому	4	2
151	и эти	2	2
152	жизни но	2	2
153	дело не	2	2
154	оно не	6	2
155	в процессе	4	2
156	так и	11	2
157	как в	8	2
158	абстрактный момент	2	2
159	в контекст	2	2
160	нами в	2	2
161	в виде	2	2
162	еще более	5	2
163	и эта	2	2
164	в данном	3	2
165	от этого	2	2
166	ответственность за	2	2
167	отношении к	6	2
168	как оно	3	2
169	акт и	2	2
170	смысле в	3	2
